Round,raceDate,GP_CHN,GP_ENG,driverGroup,raceStatus
1,2022/9/02,巴林,Bahrain,A1,TO BE GO
,2022/9/09,中秋,Mid-Aut Fest.,A1,SEASON BREAK
2,2022/9/16,澳大利亚,Australia,A1,TO BE GO
3,2022/9/23,圣马力诺,San Marino,A1,TO BE GO
,2022/9/30,国庆,National Day,A1,SEASON BREAK
,2022/10/07,国庆,National Day,A1,SEASON BREAK
4,2022/10/14,西班牙,Spain,A1,TO BE GO
5,2022/10/21,阿塞拜疆,Azerbaijan,A1,TO BE GO
6,2022/10/28,英国,Britain,A1,TO BE GO
7,2022/11/04,奥地利,Austria,A1,TO BE GO
8,2022/11/11,法国,France,A1,TO BE GO
,2022/11/18,秋歇,Autumn break,A1,SEASON BREAK
9,2022/11/25,比利时,Belgium,A1,TO BE GO
10,2022/12/02,荷兰,Netherlands,A1,TO BE GO
11,2022/12/09,新加坡,Singapore,A1,TO BE GO
12,2022/12/16,日本,Japan,A1,TO BE GO
13,2022/12/23,美国,USA,A1,TO BE GO
,2022/12/30,元旦,New Years Day,A1,SEASON BREAK
14,2023/1/06,巴西,Brazil,A1,TO BE GO
15,2023/1/13,阿布扎比,Abu Dhabi,A1,TO BE GO
,2023/1/20,春节,Chinese New Year,A1,SEASON BREAK
1,2022/9/03,巴林,Bahrain,A2,TO BE GO
,2022/9/10,中秋,Mid-Aut Fest.,A2,SEASON BREAK
2,2022/9/17,澳大利亚,Australia,A2,TO BE GO
3,2022/9/24,圣马力诺,San Marino,A2,TO BE GO
,2022/10/01,国庆,National Day,A2,SEASON BREAK
,2022/10/08,国庆,National Day,A2,SEASON BREAK
4,2022/10/15,西班牙,Spain,A2,TO BE GO
5,2022/10/22,阿塞拜疆,Azerbaijan,A2,TO BE GO
6,2022/10/29,英国,Britain,A2,TO BE GO
7,2022/11/05,奥地利,Austria,A2,TO BE GO
8,2022/11/12,法国,France,A2,TO BE GO
,2022/11/19,秋歇,Autumn break,A2,SEASON BREAK
9,2022/11/26,比利时,Belgium,A2,TO BE GO
10,2022/12/03,荷兰,Netherlands,A2,TO BE GO
11,2022/12/10,新加坡,Singapore,A2,TO BE GO
12,2022/12/17,日本,Japan,A2,TO BE GO
13,2022/12/24,美国,USA,A2,TO BE GO
,2022/12/31,元旦,New Years Day,A2,SEASON BREAK
14,2023/1/07,巴西,Brazil,A2,TO BE GO
15,2023/1/14,阿布扎比,Abu Dhabi,A2,TO BE GO
,2023/1/21,春节,Chinese New Year,A2,SEASON BREAK
1,2022/9/04,巴林,Bahrain,A3,TO BE GO
,2022/9/11,中秋,Mid-Aut Fest.,A3,SEASON BREAK
2,2022/9/18,澳大利亚,Australia,A3,TO BE GO
3,2022/9/25,圣马力诺,San Marino,A3,TO BE GO
,2022/10/02,国庆,National Day,A3,SEASON BREAK
,2022/10/09,国庆,National Day,A3,SEASON BREAK
4,2022/10/16,西班牙,Spain,A3,TO BE GO
5,2022/10/23,阿塞拜疆,Azerbaijan,A3,TO BE GO
6,2022/10/30,英国,Britain,A3,TO BE GO
7,2022/11/06,奥地利,Austria,A3,TO BE GO
8,2022/11/13,法国,France,A3,TO BE GO
,2022/11/20,秋歇,Autumn break,A3,SEASON BREAK
9,2022/11/27,比利时,Belgium,A3,TO BE GO
10,2022/12/04,荷兰,Netherlands,A3,TO BE GO
11,2022/12/11,新加坡,Singapore,A3,TO BE GO
12,2022/12/18,日本,Japan,A3,TO BE GO
13,2022/12/25,美国,USA,A3,TO BE GO
,2023/1/01,元旦,New Years Day,A3,SEASON BREAK
14,2023/1/08,巴西,Brazil,A3,TO BE GO
15,2023/1/15,阿布扎比,Abu Dhabi,A3,TO BE GO
,2023/1/22,春节,Chinese New Year,A3,SEASON BREAK
