name,team,position,Laps,grid,pits,status,bestLapTime,totalTime,penalties,tyreStints
shotsbaldwin,MCLAREN,1,29,12,1,FINISHED,1:29.524,44:24.654,6,HM
Wang.BC,RENAULT,2,29,2,1,FINISHED,1:29.571,44:38.525,0,HM
Quick  Nick,RED_BULL_RACING,3,29,6,1,FINISHED,1:30.073,44:41.197,0,HM
mushimu,MERCEDES,4,29,1,1,FINISHED,1:30.329,44:43.050,0,HM
zbk,FERRARI,5,29,5,1,FINISHED,1:30.317,44:49.500,0,HM
Dirk,HAAS,6,29,4,1,FINISHED,1:30.849,44:51.878,3,HM
Head brother,FERRARI,7,29,9,1,FINISHED,1:30.428,44:59.904,3,HM
Alick,RED_BULL_RACING,8,29,10,1,FINISHED,1:30.785,45:04.765,0,HM
Ayanami,HAAS,9,29,7,1,FINISHED,1:30.916,45:03.389,3,HM
ZghosT,RENAULT,10,29,11,1,FINISHED,1:31.588,45:07.702,0,HM
bomber-20,MERCEDES,11,21,3,3,DISQUALIFIED,1:29.337,34:51.528,0,HMSS
SHZ,WILLIAMS,12,11,8,1,DISQUALIFIED,1:31.754,18:55.721,0,HM
