driverName,team,driverGroup,joinTime
E1,Reserve,East,2022/10/1
E2,Reserve,East,2022/10/1
E3,Reserve,East,2022/10/1
E4,Reserve,East,2022/10/1
E5,Reserve,East,2022/10/1
E6,Reserve,East,2022/10/1
E7,Reserve,East,2022/10/1
E8,Reserve,East,2022/10/1
E9,Reserve,East,2022/10/1
E10,Reserve,East,2022/10/1
E11,Reserve,East,2022/10/1
E12,Reserve,East,2022/10/1
E13,Reserve,East,2022/10/1
E14,Reserve,East,2022/10/1
E15,Reserve,East,2022/10/1
E16,Reserve,East,2022/10/1
E17,Reserve,East,2022/10/1
E18,Reserve,East,2022/10/1
E19,Reserve,East,2022/10/1
E20,Reserve,East,2022/10/1
W1,Reserve,West,2022/10/1
W2,Reserve,West,2022/10/1
W3,Reserve,West,2022/10/1
W4,Reserve,West,2022/10/1
W5,Reserve,West,2022/10/1
W6,Reserve,West,2022/10/1
W7,Reserve,West,2022/10/1
W8,Reserve,West,2022/10/1
W9,Reserve,West,2022/10/1
W10,Reserve,West,2022/10/1
W11,Reserve,West,2022/10/1
W12,Reserve,West,2022/10/1
W13,Reserve,West,2022/10/1
W14,Reserve,West,2022/10/1
W15,Reserve,West,2022/10/1
W16,Reserve,West,2022/10/1
W17,Reserve,West,2022/10/1
W18,Reserve,West,2022/10/1
W19,Reserve,West,2022/10/1
W20,Reserve,West,2022/10/1
N1,Reserve,North,2022/10/1
N2,Reserve,North,2022/10/1
N3,Reserve,North,2022/10/1
N4,Reserve,North,2022/10/1
N5,Reserve,North,2022/10/1
N6,Reserve,North,2022/10/1
N7,Reserve,North,2022/10/1
N8,Reserve,North,2022/10/1
N9,Reserve,North,2022/10/1
N10,Reserve,North,2022/10/1
N11,Reserve,North,2022/10/1
N12,Reserve,North,2022/10/1
N13,Reserve,North,2022/10/1
N14,Reserve,North,2022/10/1
N15,Reserve,North,2022/10/1
N16,Reserve,North,2022/10/1
N17,Reserve,North,2022/10/1
N18,Reserve,North,2022/10/1
N19,Reserve,North,2022/10/1
N20,Reserve,North,2022/10/1
S1,Reserve,South,2022/10/1
S2,Reserve,South,2022/10/1
S3,Reserve,South,2022/10/1
S4,Reserve,South,2022/10/1
S5,Reserve,South,2022/10/1
S6,Reserve,South,2022/10/1
S7,Reserve,South,2022/10/1
S8,Reserve,South,2022/10/1
S9,Reserve,South,2022/10/1
S10,Reserve,South,2022/10/1
S11,Reserve,South,2022/10/1
S12,Reserve,South,2022/10/1
S13,Reserve,South,2022/10/1
S14,Reserve,South,2022/10/1
S15,Reserve,South,2022/10/1
S16,Reserve,South,2022/10/1
S17,Reserve,South,2022/10/1
S18,Reserve,South,2022/10/1
S19,Reserve,South,2022/10/1
S20,Reserve,South,2022/10/1
M1,Reserve,Middle,2022/10/1
M2,Reserve,Middle,2022/10/1
M3,Reserve,Middle,2022/10/1
M4,Reserve,Middle,2022/10/1
M5,Reserve,Middle,2022/10/1
M6,Reserve,Middle,2022/10/1
M7,Reserve,Middle,2022/10/1
M8,Reserve,Middle,2022/10/1
M9,Reserve,Middle,2022/10/1
M10,Reserve,Middle,2022/10/1
M11,Reserve,Middle,2022/10/1
M12,Reserve,Middle,2022/10/1
M13,Reserve,Middle,2022/10/1
M14,Reserve,Middle,2022/10/1
M15,Reserve,Middle,2022/10/1
M16,Reserve,Middle,2022/10/1
M17,Reserve,Middle,2022/10/1
M18,Reserve,Middle,2022/10/1
M19,Reserve,Middle,2022/10/1
M20,Reserve,Middle,2022/10/1
