driverGroup,GP,finishPosition,driverName,team,startPosition,gap,driverStatus
AFEC,Bahrain,1,az,LJK Team,1,,FINISHED
AFEC,Bahrain,2,Mysery,My Sky,3,+18.743,FINISHED
AFEC,Bahrain,3,mushimu,Kids See Ghost,2,+22.678,FINISHED
AFEC,Bahrain,4,Seb V5,LJK Team,4,+33.647,FINISHED
AFEC,Bahrain,5,ZghosT,Next Technology Racing,6,+40.258,FINISHED
AFEC,Bahrain,6,LINGJ,muamua,7,+68.113,FINISHED
AFEC,Bahrain,7,Mikko,Kids See Ghost,5,+69.306,FINISHED
AFEC,Bahrain,8,KINGBOB,muamua,8,DNF,RETIRED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
