driverName,team1,driverGroup1,team2,driverGroup2,driverStatus,description,transferTime,tokenUsed,teamtokenUsed
mushimu,Reserve,AFEC,Kids See Ghost,AFEC,1st driver,driver grouped,2022/8/31,0,0
Mikko,Reserve,AFEC,Kids See Ghost,AFEC,2ed driver,driver grouped,2022/8/31,0,0
az,Reserve,AFEC,LJK Team,AFEC,1st driver,driver grouped,2022/8/31,0,0
Seb V5,Reserve,AFEC,LJK Team,AFEC,2ed driver,driver grouped,2022/8/31,0,0
g eight,Reserve,AFEC,LJK Team,AFEC,3rd driver,driver grouped,2022/8/31,0,0
KINGBOB,Reserve,AFEC,muamua,AFEC,1st driver,driver grouped,2022/8/31,0,0
LINGJ,Reserve,AFEC,muamua,AFEC,2ed driver,driver grouped,2022/8/31,0,0
Mysery,Reserve,AFEC,My Sky,AFEC,1st driver,driver grouped,2022/8/31,0,0
tiankong,Reserve,AFEC,My Sky,AFEC,2ed driver,driver grouped,2022/8/31,0,0
wofa,Reserve,AFEC,Next Technology Racing,AFEC,1st driver,driver grouped,2022/8/31,0,0
ZghosT,Reserve,AFEC,Next Technology Racing,AFEC,2ed driver,driver grouped,2022/8/31,0,0
