driverName,team,driverGroup,driverStatus,joinTime,raceBan,qualiBan
kirito,Testing,AFEC,testing driver,2022/9/13,0,0
Rapture,Testing,AFEC,testing driver,2022/9/13,0,0
Jakewislet,Testing,AFEC,testing driver,2022/9/13,0,0
sharkbee,Testing,AFEC,testing driver,2022/9/13,0,0
LandoRicciardo,Testing,AFEC,testing driver,2022/9/13,0,0
Charles Jiang,Testing,AFEC,testing driver,2022/9/13,0,0
Lucylsy,Testing,AFEC,testing driver,2022/9/13,0,0
h0nestly,Testing,AFEC,testing driver,2022/9/13,0,0
i4foru,Testing,AFEC,testing driver,2022/9/13,0,0
Promise,Testing,AFEC,testing driver,2022/9/13,0,0
WANWANJU,Testing,AFEC,testing driver,2022/9/21,0,0
PPJACK,Testing,AFEC,testing driver,2022/9/21,0,0
wen,Testing,AFEC,testing driver,2022/9/21,0,0
littleredhat,Testing,AFEC,testing driver,2022/9/21,0,0
