driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A3,Bahrain,1,GG bond,Reserve,2,9:59.990,,FINISHED
A3,Bahrain,2,Ta1ko,Reserve,1,9:59.990,+9.550,FINISHED
A3,Bahrain,3,magpie,Reserve,4,1:31.087,+10.473,FINISHED
A3,Bahrain,4,188066,Reserve,3,9:59.990,+21.598,FINISHED
A3,Bahrain,5,Perfect,Reserve,5,9:59.990,+46.171,FINISHED
A3,Bahrain,6,taka10969,Reserve,7,9:59.990,+76.979,FINISHED
A3,Bahrain,7,yeye,Reserve,6,9:59.990,+1 Lap,FINISHED
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
