driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Australia,1,Suburbanite,CodeMaster Sucks,1,1:29.362,,FINISHED
A1,Australia,2,az,Reserve,4,1:29.902,+15.854,FINISHED
A1,Australia,3,mushimu,Pit Lane Killer,2,1:29.918,+16.223,FINISHED
A1,Australia,4,Lucylsy,A2,10,1:29.527,+26.594,FINISHED
A1,Australia,5,Head brother,DNF,9,1:28.691,+30.852,FINISHED
A1,Australia,6,Kogasa,Reserve,11,1:30.016,+31.343,FINISHED
A1,Australia,7,zbk,DNF,12,1:30.049,+39.806,FINISHED
A1,Australia,8,SHMJimmy,Pit Lane Killer,13,1:30.039,+40.459,FINISHED
A1,Australia,9,Mysery,Reserve,14,1:28.183,+43.335,FINISHED
A1,Australia,10,SHZ,A2,5,1:28.067,+52.392,FINISHED
A1,Australia,11,Seb V5,Reserve,15,1:29.903,+61.454,FINISHED
A1,Australia,12,Legal,Reserve,8,1:29.138,+1 Lap,FINISHED
A1,Australia,13,wofa,Reserve,6,1:29.986,DNF,RETIRED
A1,Australia,14,h0nestly,Reserve,7,1:28.393,DNF,RETIRED
A1,Australia,15,bomber-20,3b,16,1:29.517,DNF,RETIRED
A1,Australia,16,i4foru,A2,18,1:29.324,DNF,RETIRED
A1,Australia,17,Ayanami,A2,17,1:31.220,DNF,RETIRED
A1,Australia,18,CM401ASM,CodeMaster Sucks,3,,DNF,RETIRED
,,,,,,,,
,,,,,,,,
