driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,Australia,1,SHZ,Reserve,1:17.536,S,FINISHED
A2,Australia,2,tinnycatty809yhb,j r y,1:17.763,S,FINISHED
A2,Australia,3,Go7D3n WEST 999,Na'as,1:17.960,S,FINISHED
A2,Australia,4,jack,j r y,1:17.984,S,FINISHED
A2,Australia,5,Y,Low Speed Player,1:18.111,S,FINISHED
A2,Australia,6,YakumoCC,Low Speed Player,1:18.145,S,FINISHED
A2,Australia,7,Ayanami,WOFA C2H6,1:18.180,S,FINISHED
A2,Australia,8,Wilson Leclerc,NIO333,1:18.359,S,FINISHED
A2,Australia,9,Mikko,WOFA C2H6,1:18.703,S,FINISHED
A2,Australia,10,i4foru,Reserve,1:18.974,S,FINISHED
A2,Australia,11,hhhzw,Reserve,1:18.999,S,FINISHED
A2,Australia,12,KINGBOB,muamua,1:19.028,S,FINISHED
A2,Australia,13,LINGJ,muamua,1:19.073,S,FINISHED
A2,Australia,14,Complexy,Reserve,1:19.592,S,FINISHED
A2,Australia,15,RainBow,Reserve,1:19.690,S,FINISHED
A2,Australia,16,Chaelotte Amor,Na'as,1:22.431,S,FINISHED
A2,Australia,17,Lugo,Team HII,,S,FINISHED
A2,Australia,18,M4,Team HII,,S,FINISHED
A2,Australia,19,HanyueYY,TOP,,S,FINISHED
,,,,,,,
