driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,San Marino,1,Ayanami,WOFA C2H6,1:15.794,S,FINISHED
A2,San Marino,2,Wilson Leclerc,NIO333,1:15.874,S,FINISHED
A2,San Marino,3,Mikko,WOFA C2H6,1:16.004,S,FINISHED
A2,San Marino,4,HanyueYY,TOP,1:16.194,S,FINISHED
A2,San Marino,5,PPJACK,Reserve,1:16.345,S,FINISHED
A2,San Marino,6,YakumoCC,Low Speed Player,1:16.357,S,FINISHED
A2,San Marino,7,Y,Low Speed Player,1:16.461,S,FINISHED
A2,San Marino,8,LandoRicciardo,A3,1:16.552,S,FINISHED
A2,San Marino,9,tinnycatty809yhb,j r y,1:16.563,S,FINISHED
A2,San Marino,10,jack,j r y,1:16.645,S,FINISHED
A2,San Marino,11,hhhzw,Reserve,1:16.743,S,FINISHED
A2,San Marino,12,KINGBOB,muamua,1:16.759,S,FINISHED
A2,San Marino,13,Charles Jiang,TOP,1:16.859,S,FINISHED
A2,San Marino,14,i4foru,Reserve,1:16.942,S,FINISHED
A2,San Marino,15,RainBow,Reserve,1:17.243,S,FINISHED
A2,San Marino,16,dasu,Max UJS Racing,1:17.578,S,FINISHED
A2,San Marino,17,Lugo,Team HII,1:18.112,S,FINISHED
A2,San Marino,18,Charlotte Amor,Na'as,,S,QB
A2,San Marino,19,Go7D3n WEST 999,Na'as,,S,QB
A2,San Marino,20,magpie,A3,,S,FINISHED
