driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,Spain,1,Wilson Leclerc,NIO333,1:17.240,S,FINISHED
A2,Spain,2,Go7D3n WEST 999,Na'as,1:17.377,S,FINISHED
A2,Spain,3,Niraschtoe,Reserve,1:17.465,S,FINISHED
A2,Spain,4,tinnycatty809yhb,j r y,1:17.570,S,FINISHED
A2,Spain,5,Ayanami,WOFA C2H6,1:17.634,S,FINISHED
A2,Spain,6,YakumoCC,Low Speed Player,1:17.661,S,FINISHED
A2,Spain,7,HanyueYY,TOP,1:17.930,S,FINISHED
A2,Spain,8,ZghosT,TOP,1:17.932,S,FINISHED
A2,Spain,9,jack,j r y,1:18.021,S,FINISHED
A2,Spain,10,firezai,WOFA C2H6,1:18.223,S,FINISHED
A2,Spain,11,dasu,Max UJS Racing,1:18.257,S,FINISHED
A2,Spain,12,KINGBOB,muamua,1:18.279,S,FINISHED
A2,Spain,13,i4foru,fass,1:18.279,S,FINISHED
A2,Spain,14,Y,Low Speed Player,1:18.296,S,FINISHED
A2,Spain,15,LINGJ,muamua,1:18.437,S,FINISHED
A2,Spain,16,RainBow,Reserve,1:18.776,S,FINISHED
A2,Spain,17,Joji,Max UJS Racing,1:18.993,S,FINISHED
A2,Spain,18,Lugo,Team HII,1:19.319,S,FINISHED
A2,Spain,19,Mikko,Reserve,,,FINISHED
A2,Spain,20,magpie,A3,,,FINISHED
