driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,Spain,1,Niraschtoe,Reserve,3,1:19.820,,FINISHED
A2,Spain,2,YakumoCC,Low Speed Player,6,1:19.803,+0.589,FINISHED
A2,Spain,3,ZghosT,TOP,8,1:20.580,+23.477,FINISHED
A2,Spain,4,HanyueYY,TOP,7,1:20.287,+30.752,FINISHED
A2,Spain,5,jack,j r y,9,1:20.173,+37.882,FINISHED
A2,Spain,6,magpie,A3,20,1:20.809,+40.211,FINISHED
A2,Spain,7,LINGJ,muamua,15,1:20.584,+42.350,FINISHED
A2,Spain,8,tinnycatty809yhb,j r y,4,1:20.848,+43.376,FINISHED
A2,Spain,9,Mikko,Reserve,19,1:20.231,+50.125,FINISHED
A2,Spain,10,firezai,WOFA C2H6,10,1:20.837,+50.703,FINISHED
A2,Spain,11,KINGBOB,muamua,12,1:19.152,+1 Lap,FINISHED
A2,Spain,12,RainBow,Reserve,16,1:19.917,+1 Lap,FINISHED
A2,Spain,13,dasu,Max UJS Racing,11,1:22.584,+1 Lap,FINISHED
A2,Spain,14,Ayanami,WOFA C2H6,5,1:20.377,+3 Laps,DNF
A2,Spain,15,Go7D3n WEST 999,Na'as,2,1:20.437,DNF,RETIRED
A2,Spain,16,i4foru,fass,13,1:22.129,DNF,RETIRED
A2,Spain,17,Wilson Leclerc,NIO333,1,1:20.746,DNF,RETIRED
A2,Spain,18,Y,Low Speed Player,14,1:21.681,DNF,RETIRED
A2,Spain,19,Joji,Max UJS Racing,17,1:24.013,DNF,RETIRED
A2,Spain,20,Lugo,Team HII,18,1:23.602,DNF,RETIRED
