driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Azerbaijan,1,Suburbanite,CodeMaster Sucks,1,1:42.129,,FINISHED
A1,Azerbaijan,2,Quick Nick,QGod,10,1:43.090,+9.450,FINISHED
A1,Azerbaijan,3,Asuka,Reserve,7,1:43.193,+10.836,FINISHED
A1,Azerbaijan,4,Mushi,Reserve,3,1:41.751,+20.309,FINISHED
A1,Azerbaijan,5,mushimu,Pit Lane Killer,6,1:42.737,+20.675,FINISHED
A1,Azerbaijan,6,Alick,QGod,9,1:43.147,+22.506,FINISHED
A1,Azerbaijan,7,LandoRicciardo,Reserve,15,1:43.615,+44.182,FINISHED
A1,Azerbaijan,8,RROY,CodeMaster Sucks,16,1:43.328,+45.307,FINISHED
A1,Azerbaijan,9,bomber-20,ABC,2,1:42.270,+48.598,FINISHED
A1,Azerbaijan,10,Garland,Reserve,8,1:43.601,+54.051,FINISHED
A1,Azerbaijan,11,tinnycatty809yhb,Reserve,17,1:41.869,+3 Laps,DNF
A1,Azerbaijan,12,Jakewislet,Reserve,11,1:42.358,DNF,RETIRED
A1,Azerbaijan,13,SHMJimmy,Pit Lane Killer,5,1:43.827,DNF,RETIRED
A1,Azerbaijan,14,BBNIZI,A2,19,1:45.451,DNF,RETIRED
A1,Azerbaijan,15,Seb V5,Reserve,20,1:44.501,DNF,RETIRED
A1,Azerbaijan,16,Livistar,Reserve,14,1:45.287,DNF,RETIRED
A1,Azerbaijan,17,Head brother,DNF,12,1:43.900,DNF,RETIRED
A1,Azerbaijan,18,Wilson Leclerc,Reserve,4,1:56.923,DNF,RETIRED
A1,Azerbaijan,19,zbk,DNF,13,,DNF,RETIRED
A1,Azerbaijan,20,Kogasa,Reserve,18,,DNF,RETIRED
