driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A2,Azerbaijan,1,hhhzw,Reserve,1:39.733,S,FINISHED
A2,Azerbaijan,2,Y,Low Speed Player,1:40.220,S,FINISHED
A2,Azerbaijan,3,Ayanami,WOFA C2H6,1:40.310,S,FINISHED
A2,Azerbaijan,4,YakumoCC,Low Speed Player,1:40.414,S,FINISHED
A2,Azerbaijan,5,Mikko,WOFA C2H6,1:40.561,S,FINISHED
A2,Azerbaijan,6,lingerr,Reserve,1:40.718,S,FINISHED
A2,Azerbaijan,7,i4foru,A3,1:41.039,S,FINISHED
A2,Azerbaijan,8,HanyueYY,TOP,1:41.293,S,FINISHED
A2,Azerbaijan,9,BBNIZI,Reserve,1:41.295,S,FINISHED
A2,Azerbaijan,10,Jack,j r y,1:41.364,S,FINISHED
A2,Azerbaijan,11,Ta1ko,A3,1:41.413,S,FINISHED
A2,Azerbaijan,12,GROSJEAN,Reserve,1:41.623,S,FINISHED
A2,Azerbaijan,13,LINGJ,muamua,1:41.957,S,FINISHED
A2,Azerbaijan,14,ZghosT,TOP,1:42.355,S,FINISHED
A2,Azerbaijan,15,RainBow,j r y,1:42.565,S,FINISHED
A2,Azerbaijan,16,dasu,Max UJS Racing,1:43.265,S,FINISHED
A2,Azerbaijan,17,KINGBOB,muamua,,,FINISHED
