driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Bahrain,1,Suburbanite,CodeMaster Sucks,1,1:31.346,,FINISHED
A1,Bahrain,2,mushimu,Pit Lane Killer,2,1:30.677,+6.090,FINISHED
A1,Bahrain,3,Seb V5,Reserve,3,1:32.039,+18.674,FINISHED
A1,Bahrain,4,bomber-20,3b,6,1:31.453,+22.292,FINISHED
A1,Bahrain,5,SHMJimmy,Reserve,5,1:31.513,+27.045,FINISHED
A1,Bahrain,6,zbk,Reserve,9,1:31.054,+28.525,FINISHED
A1,Bahrain,7,Mysery,Reserve,8,1:30.703,+43.583,FINISHED
A1,Bahrain,8,Legal,Reserve,7,1:31.248,+50.915,FINISHED
A1,Bahrain,9,lingerr,Reserve,12,1:32.192,+59.314,FINISHED
A1,Bahrain,10,SBSDAVET,Reserve,13,1:32.978,+62.667,FINISHED
A1,Bahrain,11,Head brother,Reserve,10,1:31.666,+69.271,FINISHED
A1,Bahrain,12,RROY,CodeMaster Sucks,14,1:30.753,+1 Lap,FINISHED
A1,Bahrain,13,Kogasa,Pit Lane Killer,11,1:32.390,DNF,RETIRED
A1,Bahrain,14,333,3b,4,1:31.795,DNF,RETIRED
A2,Bahrain,1,Mikko,Reserve,1,1:32.254,,FINISHED
A2,Bahrain,2,YakumoCC,Low Speed Player,4,1:32.749,+2.872,FINISHED
A2,Bahrain,3,firezai,WOFA C2H6,10,1:31.688,+5.696,FINISHED
A2,Bahrain,4,ZghosT,TOP,11,1:31.634,+11.428,FINISHED
A2,Bahrain,5,HanyueYY,TOP,13,1:31.557,+16.940,FINISHED
A2,Bahrain,6,SHZ,Reserve,2,1:31.255,+23.824,FINISHED
A2,Bahrain,7,jack,j r y,16,1:32.203,+28.821,FINISHED
A2,Bahrain,8,Y,Low Speed Player,7,1:32.232,+31.771,FINISHED
A2,Bahrain,9,Joji,Max UJS Racing,9,1:31.449,+37.365,FINISHED
A2,Bahrain,10,tiankong,Reserve,15,1:33.228,+52.585,FINISHED
A2,Bahrain,11,LINGJ,muamua,17,1:32.460,+58.574,FINISHED
A2,Bahrain,12,dasu,Max UJS Racing,14,1:32.311,+69.035,FINISHED
A2,Bahrain,13,RainBow,Reserve,18,1:32.580,+1 Lap,FINISHED
A2,Bahrain,14,Lugo,Team HII,12,1:33.903,DNF,RETIRED
A2,Bahrain,15,M4,Team HII,8,1:29.517,DNF,RETIRED
A2,Bahrain,16,tinnycatty809yhb,j r y,5,1:29.324,DNF,RETIRED
A2,Bahrain,17,Ayanami,WOFA C2H6,3,1:31.220,DNF,RETIRED
A2,Bahrain,18,magpie,A3,6,1:30.919,DNF,RETIRED
A3,Bahrain,1,GG bond,Reserve,2,9:59.990,,FINISHED
A3,Bahrain,2,Ta1ko,Reserve,1,9:59.990,+9.550,FINISHED
A3,Bahrain,3,magpie,Reserve,4,1:31.087,+10.473,FINISHED
A3,Bahrain,4,188066,Reserve,3,9:59.990,+21.598,FINISHED
A3,Bahrain,5,Perfect,Reserve,5,9:59.990,+46.171,FINISHED
A3,Bahrain,6,taka10969,Reserve,7,9:59.990,+76.979,FINISHED
A3,Bahrain,7,yeye,Reserve,6,9:59.990,+1 Lap,FINISHED
