driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Azerbaijan,1,Suburbanite,CodeMaster Sucks,1:39.280,S,FINISHED
A1,Azerbaijan,2,bomber-20,ABC,1:39.510,S,FINISHED
A1,Azerbaijan,3,Mushi,Reserve,1:39.519,S,FINISHED
A1,Azerbaijan,4,Wilson Leclerc,Reserve,1:39.562,S,FINISHED
A1,Azerbaijan,5,SHMJimmy,Pit Lane Killer,1:39.577,S,FINISHED
A1,Azerbaijan,6,mushimu,Pit Lane Killer,1:39.698,S,FINISHED
A1,Azerbaijan,7,Asuka,Reserve,1:39.811,S,FINISHED
A1,Azerbaijan,8,Garland,Reserve,1:39.904,S,FINISHED
A1,Azerbaijan,9,Alick,QGod,1:39.914,S,FINISHED
A1,Azerbaijan,10,Quick Nick,QGod,1:39.987,S,FINISHED
A1,Azerbaijan,11,Jakewislet,Reserve,1:40.010,S,FINISHED
A1,Azerbaijan,12,Head brother,DNF,1:40.063,S,FINISHED
A1,Azerbaijan,13,zbk,DNF,1:40.589,S,FINISHED
A1,Azerbaijan,14,Livistar,Reserve,1:40.689,S,FINISHED
A1,Azerbaijan,15,LandoRicciardo,Reserve,1:40.767,S,FINISHED
A1,Azerbaijan,16,RROY,CodeMaster Sucks,1:41.003,S,FINISHED
A1,Azerbaijan,17,tinnycatty809yhb,Reserve,1:41.125,S,FINISHED
A1,Azerbaijan,18,Kogasa,Reserve,,,FINISHED
A1,Azerbaijan,19,BBNIZI,A2,,,FINISHED
A1,Azerbaijan,20,Seb V5,Reserve,,,FINISHED
A2,Azerbaijan,1,hhhzw,Reserve,1:39.733,S,FINISHED
A2,Azerbaijan,2,Y,Low Speed Player,1:40.220,S,FINISHED
A2,Azerbaijan,3,Ayanami,WOFA C2H6,1:40.310,S,FINISHED
A2,Azerbaijan,4,YakumoCC,Low Speed Player,1:40.414,S,FINISHED
A2,Azerbaijan,5,Mikko,WOFA C2H6,1:40.561,S,FINISHED
A2,Azerbaijan,6,lingerr,Reserve,1:40.718,S,FINISHED
A2,Azerbaijan,7,i4foru,A3,1:41.039,S,FINISHED
A2,Azerbaijan,8,HanyueYY,TOP,1:41.293,S,FINISHED
A2,Azerbaijan,9,BBNIZI,Reserve,1:41.295,S,FINISHED
A2,Azerbaijan,10,Jack,j r y,1:41.364,S,FINISHED
A2,Azerbaijan,11,Ta1ko,A3,1:41.413,S,FINISHED
A2,Azerbaijan,12,GROSJEAN,Reserve,1:41.623,S,FINISHED
A2,Azerbaijan,13,LINGJ,muamua,1:41.957,S,FINISHED
A2,Azerbaijan,14,ZghosT,TOP,1:42.355,S,FINISHED
A2,Azerbaijan,15,RainBow,j r y,1:42.565,S,FINISHED
A2,Azerbaijan,16,dasu,Max UJS Racing,1:43.265,S,FINISHED
A2,Azerbaijan,17,KINGBOB,muamua,,,FINISHED
A3,Azerbaijan,1,Ta1ko,Reserve,1:41.034,S,FINISHED
A3,Azerbaijan,2,wen,Reserve,1:41.100,S,FINISHED
A3,Azerbaijan,3,GG bond,Reserve,1:41.184,S,FINISHED
A3,Azerbaijan,4,188066,Reserve,1:41.342,S,FINISHED
A3,Azerbaijan,5,sharkbee,Reserve,1:41.868,S,FINISHED
A3,Azerbaijan,6,WackY,Reserve,1:42.890,S,FINISHED
A3,Azerbaijan,7,yeye,Reserve,1:45.081,S,FINISHED
A3,Azerbaijan,8,taka10969,Reserve,,,FINISHED
,,,,,,,
