driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Bahrain,1,Suburbanite,CodeMaster Sucks,1:27.989,S,FINISHED
A1,Bahrain,2,mushimu,Pit Lane Killer,1:28.152,S,FINISHED
A1,Bahrain,3,Seb V5,Reserve,1:28.307,S,FINISHED
A1,Bahrain,4,333,3b,1:28.327,S,FINISHED
A1,Bahrain,5,SHMJimmy,Reserve,1:28.364,S,FINISHED
A1,Bahrain,6,bomber-20,3b,1:28.383,S,FINISHED
A1,Bahrain,7,Legal,Reserve,1:28.531,S,FINISHED
A1,Bahrain,8,Mysery,Reserve,1:28.589,S,FINISHED
A1,Bahrain,9,zbk,Reserve,1:28.645,S,FINISHED
A1,Bahrain,10,Head brother,Reserve,1:28.863,S,FINISHED
A1,Bahrain,11,Kogasa,Pit Lane Killer,1:28.962,S,FINISHED
A1,Bahrain,12,lingerr,Reserve,1:29.544,S,FINISHED
A1,Bahrain,13,SBSDAVET,Reserve,1:29.677,S,FINISHED
A1,Bahrain,14,RROY,CodeMaster Sucks,1:48.989,S,FINISHED
A2,Bahrain,1,Mikko,Reserve,1:28.342,S,FINISHED
A2,Bahrain,2,SHZ,Reserve,1:28.613,S,FINISHED
A2,Bahrain,3,Ayanami,WOFA C2H6,1:28.782,S,FINISHED
A2,Bahrain,4,YakumoCC,Low Speed Player,1:28.902,S,FINISHED
A2,Bahrain,5,tinnycatty809yhb,j r y,1:28.926,S,FINISHED
A2,Bahrain,6,magpie,A3,1:28.929,S,FINISHED
A2,Bahrain,7,Y,Low Speed Player,1:28.932,S,FINISHED
A2,Bahrain,8,M4,Team HII,1:28.981,S,FINISHED
A2,Bahrain,9,Joji,Max UJS Racing,1:29.163,S,FINISHED
A2,Bahrain,10,firezai,WOFA C2H6,1:29.236,S,FINISHED
A2,Bahrain,11,ZghosT,TOP,1:29.244,S,FINISHED
A2,Bahrain,12,Lugo,Team HII,1:29.296,S,FINISHED
A2,Bahrain,13,HanyueYY,TOP,1:29.360,S,FINISHED
A2,Bahrain,14,dasu,Max UJS Racing,1:29.388,S,FINISHED
A2,Bahrain,15,tiankong,Reserve,1:29.420,S,FINISHED
A2,Bahrain,16,jack,j r y,1:29.560,S,FINISHED
A2,Bahrain,17,LINGJ,muamua,1:29.612,S,FINISHED
A2,Bahrain,18,RainBow,Reserve,1:29.756,S,FINISHED
A3,Bahrain,1,Ta1ko,Reserve,1:30.195,S,FINISHED
A3,Bahrain,2,GG bond,Reserve,1:30.223,S,FINISHED
A3,Bahrain,3,188066,Reserve,1:30.287,S,FINISHED
A3,Bahrain,4,magpie,Reserve,1:30.449,S,FINISHED
A3,Bahrain,5,Perfect,Reserve,1:31.157,S,FINISHED
A3,Bahrain,6,yeye,Reserve,1:31.608,S,FINISHED
A3,Bahrain,7,taka10969,Reserve,1:32.656,S,FINISHED
A1,Australia,1,Suburbanite,CodeMaster Sucks,1:17.282,S,FINISHED
A1,Australia,2,mushimu,Pit Lane Killer,1:17.535,S,FINISHED
A1,Australia,3,CM401ASM,CodeMaster Sucks,1:17.557,S,FINISHED
A1,Australia,4,az,Reserve,1:17.596,S,FINISHED
A1,Australia,5,SHZ,A2,1:17.644,S,FINISHED
A1,Australia,6,wofa,Reserve,1:17.653,S,FINISHED
A1,Australia,7,h0nestly,Reserve,1:17.779,S,FINISHED
A1,Australia,8,Legal,Reserve,1:17.920,S,FINISHED
A1,Australia,9,Head brother,DNF,1:18.106,S,FINISHED
A1,Australia,10,Lucylsy,A2,1:18.114,S,FINISHED
A1,Australia,11,Kogasa,Reserve,1:18.185,S,FINISHED
A1,Australia,12,zbk,DNF,1:18.332,S,FINISHED
A1,Australia,13,SHMJimmy,Pit Lane Killer,1:18.687,S,FINISHED
A1,Australia,14,Mysery,Reserve,1:18.808,S,FINISHED
A1,Australia,15,Seb V5,Reserve,,,QB
A1,Australia,16,bomber-20,3b,,,FINISHED
A1,Australia,17,Ayanami,A2,,,FINISHED
A1,Australia,18,i4foru,A2,,,FINISHED
A2,Australia,1,SHZ,Reserve,1:17.536,S,FINISHED
A2,Australia,2,tinnycatty809yhb,j r y,1:17.763,S,FINISHED
A2,Australia,3,Go7D3n WEST 999,Na'as,1:17.960,S,FINISHED
A2,Australia,4,jack,j r y,1:17.984,S,FINISHED
A2,Australia,5,Y,Low Speed Player,1:18.111,S,FINISHED
A2,Australia,6,YakumoCC,Low Speed Player,1:18.145,S,FINISHED
A2,Australia,7,Ayanami,WOFA C2H6,1:18.180,S,FINISHED
A2,Australia,8,Wilson Leclerc,NIO333,1:18.359,S,FINISHED
A2,Australia,9,Mikko,WOFA C2H6,1:18.703,S,FINISHED
A2,Australia,10,i4foru,Reserve,1:18.974,S,FINISHED
A2,Australia,11,hhhzw,Reserve,1:18.999,S,FINISHED
A2,Australia,12,KINGBOB,muamua,1:19.028,S,FINISHED
A2,Australia,13,LINGJ,muamua,1:19.073,S,FINISHED
A2,Australia,14,Complexy,Reserve,1:19.592,S,FINISHED
A2,Australia,15,RainBow,Reserve,1:19.690,S,FINISHED
A2,Australia,16,Charlotte Amor,Na'as,1:22.431,S,FINISHED
A2,Australia,17,Lugo,Team HII,,,FINISHED
A2,Australia,18,M4,Team HII,,,FINISHED
A2,Australia,19,HanyueYY,TOP,,,FINISHED
A3,Australia,1,LandoRicciardo,Reserve,1:18.360,S,FINISHED
A3,Australia,2,magpie,Reserve,1:18.572,S,FINISHED
A3,Australia,3,Mike.XYL,Reserve,1:18.887,S,FINISHED
A3,Australia,4,g eight,Reserve,1:20.208,S,FINISHED
A3,Australia,5,GG bond,Reserve,1:20.330,S,FINISHED
A3,Australia,6,Ta1ko,Reserve,1:20.379,S,FINISHED
A3,Australia,7,Perfect,Reserve,1:20.460,S,FINISHED
A3,Australia,8,yeye,Reserve,1:20.901,S,FINISHED
A3,Australia,9,taka10969,Reserve,1:22.919,S,FINISHED
A3,Australia,10,sharkbee,Reserve,,,FINISHED
A1,San Marino,1,Suburbanite,CodeMaster Sucks,1:15.460,S,FINISHED
