driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Bahrain,1,Suburbanite,CodeMaster Sucks,1,1:31.346,,FINISHED
A1,Bahrain,2,mushimu,Pit Lane Killer,2,1:30.677,+6.090,FINISHED
A1,Bahrain,3,Seb V5,Reserve,3,1:32.039,+18.674,FINISHED
A1,Bahrain,4,bomber-20,3b,6,1:31.453,+22.292,FINISHED
A1,Bahrain,5,SHMJimmy,Reserve,5,1:31.513,+27.045,FINISHED
A1,Bahrain,6,zbk,Reserve,9,1:31.054,+28.525,FINISHED
A1,Bahrain,7,Mysery,Reserve,8,1:30.703,+43.583,FINISHED
A1,Bahrain,8,Legal,Reserve,7,1:31.248,+50.915,FINISHED
A1,Bahrain,9,lingerr,Reserve,12,1:32.192,+59.314,FINISHED
A1,Bahrain,10,SBSDAVET,Reserve,13,1:32.978,+62.667,FINISHED
A1,Bahrain,11,Head brother,Reserve,10,1:31.666,+69.271,FINISHED
A1,Bahrain,12,RROY,CodeMaster Sucks,14,1:30.753,+1 Lap,FINISHED
A1,Bahrain,13,Kogasa,Pit Lane Killer,11,1:32.390,DNF,RETIRED
A1,Bahrain,14,333,3b,4,1:31.795,DNF,RETIRED
A2,Bahrain,1,Mikko,Reserve,1,1:32.254,,FINISHED
A2,Bahrain,2,YakumoCC,Low Speed Player,4,1:32.749,+2.872,FINISHED
A2,Bahrain,3,firezai,WOFA C2H6,10,1:31.688,+5.696,FINISHED
A2,Bahrain,4,ZghosT,TOP,11,1:31.634,+11.428,FINISHED
A2,Bahrain,5,HanyueYY,TOP,13,1:31.557,+16.940,FINISHED
A2,Bahrain,6,SHZ,Reserve,2,1:31.255,+23.824,FINISHED
A2,Bahrain,7,jack,j r y,16,1:32.203,+28.821,FINISHED
A2,Bahrain,8,Y,Low Speed Player,7,1:32.232,+31.771,FINISHED
A2,Bahrain,9,Joji,Max UJS Racing,9,1:31.449,+37.365,FINISHED
A2,Bahrain,10,tiankong,Reserve,15,1:33.228,+52.585,FINISHED
A2,Bahrain,11,LINGJ,muamua,17,1:32.460,+58.574,FINISHED
A2,Bahrain,12,dasu,Max UJS Racing,14,1:32.311,+69.035,FINISHED
A2,Bahrain,13,RainBow,Reserve,18,1:32.580,+1 Lap,FINISHED
A2,Bahrain,14,Lugo,Team HII,12,1:33.903,DNF,RETIRED
A2,Bahrain,15,M4,Team HII,8,1:29.517,DNF,RETIRED
A2,Bahrain,16,tinnycatty809yhb,j r y,5,1:29.324,DNF,RETIRED
A2,Bahrain,17,Ayanami,WOFA C2H6,3,1:31.220,DNF,RETIRED
A2,Bahrain,18,magpie,A3,6,1:30.919,DNF,RETIRED
A3,Bahrain,1,GG bond,Reserve,2,9:59.990,,FINISHED
A3,Bahrain,2,Ta1ko,Reserve,1,9:59.990,+9.550,FINISHED
A3,Bahrain,3,magpie,Reserve,4,1:31.087,+10.473,FINISHED
A3,Bahrain,4,188066,Reserve,3,9:59.990,+21.598,FINISHED
A3,Bahrain,5,Perfect,Reserve,5,9:59.990,+46.171,FINISHED
A3,Bahrain,6,taka10969,Reserve,7,9:59.990,+76.979,FINISHED
A3,Bahrain,7,yeye,Reserve,6,9:59.990,+1 Lap,FINISHED
A1,Australia,1,Suburbanite,CodeMaster Sucks,1,1:29.362,,FINISHED
A1,Australia,2,az,Reserve,4,1:29.902,+15.854,FINISHED
A1,Australia,3,mushimu,Pit Lane Killer,2,1:29.918,+16.223,FINISHED
A1,Australia,4,Lucylsy,A2,10,1:29.527,+26.594,FINISHED
A1,Australia,5,Head brother,DNF,9,1:28.691,+30.852,FINISHED
A1,Australia,6,Kogasa,Reserve,11,1:30.016,+31.343,FINISHED
A1,Australia,7,zbk,DNF,12,1:30.049,+39.806,FINISHED
A1,Australia,8,SHMJimmy,Pit Lane Killer,13,1:30.039,+40.459,FINISHED
A1,Australia,9,Mysery,Reserve,14,1:28.183,+43.335,FINISHED
A1,Australia,10,SHZ,A2,5,1:28.067,+52.392,FINISHED
A1,Australia,11,Seb V5,Reserve,15,1:29.903,+61.454,FINISHED
A1,Australia,12,Legal,Reserve,8,1:29.138,+1 Lap,FINISHED
A1,Australia,13,wofa,Reserve,6,1:29.986,DNF,RETIRED
A1,Australia,14,h0nestly,Reserve,7,1:28.393,DNF,RETIRED
A1,Australia,15,bomber-20,3b,16,1:29.517,DNF,RETIRED
A1,Australia,16,i4foru,A2,18,1:29.324,DNF,RETIRED
A1,Australia,17,Ayanami,A2,17,1:31.220,DNF,RETIRED
A1,Australia,18,CM401ASM,CodeMaster Sucks,3,,DNF,RETIRED
A2,Australia,1,jack,j r y,4,1:21.116,,FINISHED
A2,Australia,2,Ayanami,WOFA C2H6,7,1:21.290,+16.684,FINISHED
A2,Australia,3,HanyueYY,TOP,19,1:21.568,+43.127,FINISHED
A2,Australia,4,Go7D3n WEST 999,Na'as,3,1:21.463,+47.174,FINISHED
A2,Australia,5,tinnycatty809yhb,j r y,2,1:21.977,+47.434,FINISHED
A2,Australia,6,LINGJ,muamua,13,1:22.452,+49.194,FINISHED
A2,Australia,7,Lugo,Team HII,17,1:24.192,+1 Lap,FINISHED
A2,Australia,8,Mikko,WOFA C2H6,9,1:21.867,+1 Lap,FINISHED
A2,Australia,9,RainBow,Reserve,15,1:22.666,+1 Lap,FINISHED
A2,Australia,10,Complexy,Reserve,14,1:22.072,+2 Lap,FINISHED
A2,Australia,11,Y,Low Speed Player,5,1:22.771,DNF,RETIRED
A2,Australia,12,M4,Team HII,18,1:21.277,DNF,RETIRED
A2,Australia,13,YakumoCC,Low Speed Player,6,1:22.680,DNF,RETIRED
A2,Australia,14,Wilson Leclerc,NIO333,8,,DNF,RETIRED
A2,Australia,15,i4foru,Reserve,10,,DNF,RETIRED
A2,Australia,16,SHZ,Reserve,1,,DNF,DSQ
A2,Australia,17,hhhzw,Reserve,11,,DNF,DSQ
A2,Australia,18,KINGBOB,muamua,12,,DNF,DSQ
A2,Australia,19,Charlotte Amor,Na'as,16,,DNF,DSQ
A3,Australia,1,g eight,Reserve,4,1:20.299,,FINISHED
A3,Australia,2,LandoRicciardo,Reserve,1,1:21.597,+6.433,FINISHED
A3,Australia,3,sharkbee,Reserve,10,1:20.316,+27.552,FINISHED
A3,Australia,4,Mike.XYL,Reserve,3,1:22.103,+31.754,FINISHED
A3,Australia,5,Perfect,Reserve,7,1:22.789,+53.293,FINISHED
A3,Australia,6,taka10969,Reserve,9,1:25.152,+2 Lap,FINISHED
A3,Australia,7,Ta1ko,Reserve,6,1:22.494,DNF,RETIRED
A3,Australia,8,GG bond,Reserve,5,1:22.997,DNF,RETIRED
A3,Australia,9,magpie,Reserve,2,1:21.804,DNF,RETIRED
A3,Australia,10,yeye,Reserve,8,1:23.438,DNF,RETIRED
A1,San Marino,1,CM401ASM,CodeMaster Sucks,4,1:18.473,,FINISHED
A1,San Marino,2,Seb V5,Reserve,11,1:18.371,+5.808,FINISHED
A1,San Marino,3,Suburbanite,CodeMaster Sucks,1,1:17.079,+6.110,FINISHED
A1,San Marino,4,zbk,DNF,5,1:17.383,+6.609,FINISHED
A1,San Marino,5,SHZ,Reserve,9,1:18.754,+10.538,FINISHED
A1,San Marino,6,SHMJimmy,Pit Lane Killer,2,1:18.247,+10.564,FINISHED
A1,San Marino,7,tinnycatty809yhb,A2,10,1:18.783,+58.390,FINISHED
A1,San Marino,8,Livistar,Reserve,12,1:18.731,+61.684,FINISHED
A1,San Marino,9,333,3b,8,1:19.653,+67.215,FINISHED
A1,San Marino,10,Head brother,DNF,7,1:17.512,+85.670,FINISHED
A1,San Marino,11,Ayanami,A2,6,1:18.022,+3 Laps,FINISHED
A1,San Marino,12,wofa,Reserve,3,1:19.488,DNF,RETIRED
A1,San Marino,13,i4foru,A2,13,1:20.827,DNF,RETIRED
A2,San Marino,1,Mikko,WOFA C2H6,3,1:17.818,,FINISHED
A2,San Marino,2,HanyueYY,TOP,4,1:18.766,+5.759,FINISHED
A2,San Marino,3,KINGBOB,muamua,12,1:18.778,+10.928,FINISHED
A2,San Marino,4,Y,Low Speed Player,7,1:19.561,+11.951,FINISHED
A2,San Marino,5,magpie,A3,20,1:19.166,+38.211,FINISHED
A2,San Marino,6,Go7D3n WEST 999,Na'as,19,1:18.432,+42.486,FINISHED
A2,San Marino,7,hhhzw,Reserve,11,1:19.561,+44.170,FINISHED
A2,San Marino,8,Charles Jiang,TOP,13,1:19.039,+45.403,FINISHED
A2,San Marino,9,jack,j r y,10,1:19.129,+56.661,FINISHED
A2,San Marino,10,YakumoCC,Low Speed Player,6,1:19.144,+57.224,FINISHED
A2,San Marino,11,LandoRicciardo,A3,8,1:18.721,+63.929,FINISHED
A2,San Marino,12,PPJACK,Reserve,5,1:17.483,+1 Lap,FINISHED
A2,San Marino,13,tinnycatty809yhb,j r y,9,1:17.996,+1 Lap,FINISHED
A2,San Marino,14,i4foru,Reserve,14,1:17.797,+2 Laps,RETIRED
A2,San Marino,15,RainBow,Reserve,15,1:19.918,DNF,RETIRED
A2,San Marino,16,Charlotte Amor,Na'as,18,1:33.894,DNF,RETIRED
A2,San Marino,17,Lugo,Team HII,17,,DNF,RETIRED
A2,San Marino,18,Ayanami,WOFA C2H6,1,,DNF,RETIRED
A2,San Marino,19,Wilson Leclerc,NIO333,2,,DNF,DSQ
A2,San Marino,20,dasu,Max UJS Racing,16,,DNF,DSQ
A3,San Marino,1,LandoRicciardo,Reserve,1,1:18.921,,FINISHED
A3,San Marino,2,sharkbee,Reserve,2,1:18.156,+0.223,FINISHED
A3,San Marino,3,Ta1ko,Reserve,7,1:19.282,+3.604,FINISHED
A3,San Marino,4,GG Bond,Reserve,11,1:19.183,+13.490,FINISHED
A3,San Marino,5,188066,Reserve,8,1:20.112,+26.855,FINISHED
A3,San Marino,6,yeye,Reserve,9,1:20.809,+47.129,FINISHED
A3,San Marino,7,magpie,Reserve,4,1:18.773,+1 Lap,FINISHED
A3,San Marino,8,taka10969,Reserve,10,1:22.209,+1 Lap,FINISHED
A3,San Marino,9,wen,Reserve,3,1:18.461,DNF,RETIRED
A3,San Marino,10,WANWANJU,Reserve,6,1:19.585,DNF,RETIRED
A3,San Marino,11,Perfect,Reserve,5,1:20.804,DNF,RETIRED
A1,Spain,1,Mushi,Reserve,1,1:19.153,,FINISHED
A1,Spain,2,Suburbanite,CodeMaster Sucks,2,1:19.347,+8.215,FINISHED
A1,Spain,3,mushimu,Pit Lane Killer,6,1:19.365,+21.692,FINISHED
A1,Spain,4,Alick,QGod,9,1:19.873,+26.536,FINISHED
A1,Spain,5,LHAM66,Reserve,7,1:19.642,+27.395,FINISHED
A1,Spain,6,Livistar,Reserve,12,1:20.008,+37.715,FINISHED
A1,Spain,7,bomber-20,ABC,5,1:19.610,+30.079,FINISHED
A1,Spain,8,Asuka,Reserve,8,1:20.564,+48.904,FINISHED
A1,Spain,9,Garland,Reserve,11,1:21.080,+51.384,FINISHED
A1,Spain,10,SHZ,ABC,17,1:20.303,+58.631,FINISHED
A1,Spain,11,RROY,CodeMaster Sucks,10,1:20.812,+59.124,FINISHED
A1,Spain,12,Head brother,DNF,16,1:19.856,+3 Laps,FINISHED
A1,Spain,13,lingerr,Reserve,15,1:20.004,DNF,DNF
A1,Spain,14,Kogasa,Pit Lane Killer,14,1:21.782,DNF,RETIRED
A1,Spain,15,Wilson Leclerc,A2,13,1:21.465,DNF,RETIRED
A1,Spain,16,zbk,DNF,4,1:21.760,DNF,RETIRED
A1,Spain,17,Quick Nick,QGod,3,1:19.290,+3.578,DSQ
A2,Spain,1,Niraschtoe,Reserve,3,1:19.820,,FINISHED
A2,Spain,2,YakumoCC,Low Speed Player,6,1:19.803,+0.589,FINISHED
A2,Spain,3,ZghosT,TOP,8,1:20.580,+23.477,FINISHED
A2,Spain,4,HanyueYY,TOP,7,1:20.287,+30.752,FINISHED
A2,Spain,5,jack,j r y,9,1:20.173,+37.882,FINISHED
A2,Spain,6,magpie,A3,20,1:20.809,+40.211,FINISHED
A2,Spain,7,LINGJ,muamua,15,1:20.584,+42.350,FINISHED
A2,Spain,8,tinnycatty809yhb,j r y,4,1:20.848,+43.376,FINISHED
A2,Spain,9,Mikko,Reserve,19,1:20.231,+50.125,FINISHED
A2,Spain,10,firezai,WOFA C2H6,10,1:20.837,+50.703,FINISHED
A2,Spain,11,KINGBOB,muamua,12,1:19.152,+1 Lap,FINISHED
A2,Spain,12,RainBow,Reserve,16,1:19.917,+1 Lap,FINISHED
A2,Spain,13,dasu,Max UJS Racing,11,1:22.584,+1 Lap,FINISHED
A2,Spain,14,Ayanami,WOFA C2H6,5,1:20.377,+3 Laps,DNF
A2,Spain,15,Go7D3n WEST 999,Na'as,2,1:20.437,DNF,RETIRED
A2,Spain,16,i4foru,fass,13,1:22.129,DNF,RETIRED
A2,Spain,17,Wilson Leclerc,NIO333,1,1:20.746,DNF,RETIRED
A2,Spain,18,Y,Low Speed Player,14,1:21.681,DNF,RETIRED
A2,Spain,19,Joji,Max UJS Racing,17,1:24.013,DNF,RETIRED
A2,Spain,20,Lugo,Team HII,18,1:23.602,DNF,RETIRED
A3,Spain,1,g eight,Reserve,1,1:20.235,,FINISHED
A3,Spain,2,magpie,Reserve,6,1:19.833,+1.632,FINISHED
A3,Spain,3,188066,Reserve,2,1:21.062,+30.467,FINISHED
A3,Spain,4,Perfect,Reserve,8,1:22.262,+68.943,FINISHED
A3,Spain,5,yeye,Reserve,4,1:23.214,+78.777,FINISHED
A3,Spain,6,Ta1ko,Reserve,3,1:21.054,+2 Laps,FINISHED
A3,Spain,7,taka10969,Reserve,5,1:24.897,+2 Laps,FINISHED
A3,Spain,8,GG Bond,Reserve,7,1:21.712,DNF,RETIRED
A1,Azerbaijan,1,Suburbanite,CodeMaster Sucks,1,1:42.129,,FINISHED
A1,Azerbaijan,2,Quick Nick,QGod,10,1:43.090,+9.450,FINISHED
A1,Azerbaijan,3,Asuka,Reserve,7,1:43.193,+10.836,FINISHED
A1,Azerbaijan,4,Mushi,Reserve,3,1:41.751,+20.309,FINISHED
A1,Azerbaijan,5,mushimu,Pit Lane Killer,6,1:42.737,+20.675,FINISHED
A1,Azerbaijan,6,Alick,QGod,9,1:43.147,+22.506,FINISHED
A1,Azerbaijan,7,LandoRicciardo,Reserve,15,1:43.615,+44.182,FINISHED
A1,Azerbaijan,8,RROY,CodeMaster Sucks,16,1:43.328,+45.307,FINISHED
A1,Azerbaijan,9,bomber-20,ABC,2,1:42.270,+48.598,FINISHED
