casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/9/4,SBSDAVET,A1,Bahrain,10 Second Time Penalty,-2,1,0,0,Causing a collision
2022/9/4,Seb V5,A1,Bahrain,Qualifying Ban,-1,1,1,0,Ignoring blue flag and causing a collision during qualifying
2022/9/4,Head brother,A1,Bahrain,10 Second Stop and Go Penalty,-3,1,0,0,Causing a severe collision
2022/9/3,magpie,A2,Bahrain,5 Second Time Penalty,-2,0,0,0,Rejoin the track with unsafe manner
2022/9/18,mushimu,A1,Australia,5 Second Time Penalty,0,0.5,0,0,Ilegal attempt to obtain DRS
2022/9/18,Seb V5,A1,Australia,,0,0,-1,0,
2022/9/17,Go7D3n WEST 999,A2,Australia,Qualifying Ban,-1,1,1,0,Obstructing flying lap
2022/9/17,Charlotte Amor,A2,Australia,Qualifying Ban,-1,1,1,0,Obstructing flying lap
2022/9/17,RainBow,A2,Australia,20 Second Stop and Go Penalty ,-3,2,0,0,Causing a severe collision
2022/9/17,Mikko,A2,Australia,10 Second Time Penalty,-1,1,0,0,Using illegal function
2022/9/17,HanyueYY,A2,Australia,10 Second Stop and Go penalty,-3,2,0,0,Causing a collision
2022/9/17,tinnycatty809yhb,A2,Australia,10 Second Stop and Go penalty,-2,1,0,0,Causing a collision and forcing another car off the track
2022/9/17,SHZ,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/17,hhhzw,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/17,KINGBOB,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/17,Charlotte Amor,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/25,Livistar,A1,San Marino,Qualifying Ban,0,0,1,0,Obstructing flying lap
2022/9/25,SHZ,A1,San Marino,Qualifying Ban,0,0,1,0,Obstructing flying lap
2022/9/25,wofa,A1,San Marino,Qualifying Ban,0,0,1,0,Corner cutting during qualifying
2022/9/24,Go7D3n WEST 999,A2,San Marino,,0,0,-1,0,QualiBan executed
2022/9/24,Charlotte Amor,A2,San Marino,,0,0,-1,0,QualiBan executed
2022/9/24,Mikko,A2,San Marino,Qualifying Ban,0,0.5,1,0,Obstructing flying lap
2022/9/24,Wilson Leclerc,A2,San Marino,10 Second Time Penalty,0,1,0,0,Causing a collision
2022/9/24,LandoRicciardo,A2,San Marino,5 Second Time Penalty,0,0.5,0,0,Dangerous driving
2022/9/24,Wilson Leclerc,A2,San Marino,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/24,dasu,A2,San Marino,Disqualified,0,0,0,0,Racing with telemetry off
2022/10/16,SHZ,A1,Spain,"Time penalty, LP penalty",-2,0,0,0,Causing a severe collision
2022/10/16,RROY,A1,Spain,Time penalty,0,0,0,0,Causing a collision
2022/10/16,Quick Nick,A1,Spain,DSQ,0,0,0,0,Incorrect telemetry settings
2022/10/16,SHZ,A1,Spain,qualiban,0,0,-1,0,Execution of qualiban
2022/10/15,firezai,A2,Spain,"Warning, qualiban",-2,1,1,0,Blocking flying lap
2022/10/15,KINGBOB,A2,Spain,"Warning, Time penalty",0,0.5,0,0,Causing a collision and forcing another driver off the track
2022/10/15,dasu,A2,Spain,Warinng,0,0.5,0,0,Causing a collision
2022/10/15,HanyueYY,A2,Spain,"Warning, Time penalty",-2,0,0,0,Causing a severe collision
2022/10/15,Mikko,A2,Spain,qualiban,0,0,-1,0,Execution of qualiban
2022/10/14,Ta1ko,A3,Spain,"LP penalty, Time penalty",-3,0,0,0,Causing a severe collision
2022/10/23,BBNIZI,A1,Azerbaijan,Warning,-1,0.5,0,0,Incorrect tyre set in qualiying session
2022/10/23,Head brother,A1,Azerbaijan,"Waring, LP penalty, qualiban",-2,1,1,0,Blocking flying lap
2022/10/23,bomber-20,A1,Azerbaijan,"Waring, LP penalty",-1,0.5,0,0,Causing a collision
2022/10/23,tinnycatty809yhb,A1,Azerbaijan,"Time penalty, LP penalty",-2,0,0,0,Causing a collision
2022/10/23,Livistar,A1,Azerbaijan,"Waring, LP penalty, qualiban",-2,1,1,0,Blocking flying lap
2022/10/22,KINGBOB,A2,Azerbaijan,"Warning, LP Penalty",-2,1,1,0,Blocking flying lap
2022/10/22,i4foru,A2,Azerbaijan,"Warning, LP Penalty",-3,2,3,0,Blocking flying lap and causing severe collision
2022/10/22,i4foru,A2,Azerbaijan,"Warning, LP Penalty",-1,1,0,0,Dangerous driving
2022/10/30,Asuka,A1,Britain,"Time penalty, LP penalty",-2,0,0,0,Causing a severe collision
2022/10/30,Livistar,A1,Britain,qualiban,0,0,-1,0,Execution of qualiban
2022/10/30,Head brother,A1,Britain,qualiban,0,0,-1,0,Execution of qualiban
2022/10/30,wofa,A1,Britain,qualiban,0,0,-1,0,Execution of qualiban
2022/10/29,magpie,A2,Britain,"Time penalty, LP penalty",-1,0,0,0,Casuing a severe collision
2022/10/29,magpie,A2,Britain,"Time penalty, LP penalty",-2,0,0,0,Casuing a severe collision
2022/10/29,i4foru,A2,Britain,qualiban,0,0,-1,0,Execution of qualiban
