driverName,team_from,driverGroup_from,team_to,driverGroup_to,driverStatus,description,transferTime,tokenUsed
Suburbanite,Reserve,A1,CodeMaster Sucks,A1,1st driver,driver grouped,2022/9/1,0
RROY,Reserve,A1,CodeMaster Sucks,A1,2ed driver,driver grouped,2022/9/1,0
CM401ASM,Reserve,A1,CodeMaster Sucks,A1,3rd driver,driver grouped,2022/9/1,0
mushimu,Reserve,A1,Pit Lane Killer,A1,1st driver,driver grouped,2022/9/1,0
Kogasa,Reserve,A1,Pit Lane Killer,A1,2ed driver,driver grouped,2022/9/1,0
SHMJimmy,Reserve,A1,Pit Lane Killer,A1,3rd driver,driver grouped,2022/9/1,0
333,Reserve,A1,3b,A1,1st driver,driver grouped,2022/9/1,0
bomber-20,Reserve,A1,3b,A1,2ed driver,driver grouped,2022/9/1,0
KINGBOB,Reserve,A2,muamua,A2,1st driver,driver grouped,2022/9/1,0
LINGJ,Reserve,A2,muamua,A2,2ed driver,driver grouped,2022/9/1,0
Wilson Leclerc,Reserve,A2,NIO333,A2,1st driver,driver grouped,2022/9/1,0
STeven L2i,Reserve,A2,NIO333,A2,2ed driver,driver grouped,2022/9/1,0
M4,Reserve,A2,Team HII,A2,1st driver,driver grouped,2022/9/1,0
Lugo,Reserve,A2,Team HII,A2,2ed driver,driver grouped,2022/9/1,0
jack,Reserve,A2,j r y,A2,1st driver,driver grouped,2022/9/1,0
tinnycatty809yhb,Reserve,A2,j r y,A2,2ed driver,driver grouped,2022/9/1,0
RainBow,Reserve,A2,j r y,A2,3rd driver,driver grouped,2022/9/1,0
YakumoCC,Reserve,A2,Low Speed Player,A2,1st driver,driver grouped,2022/9/1,0
Y,Reserve,A2,Low Speed Player,A2,2ed driver,driver grouped,2022/9/1,0
Ayanami,Reserve,A2,WOFA C2H6,A2,1st driver,driver grouped,2022/9/1,0
firezai,Reserve,A2,WOFA C2H6,A2,2ed driver,driver grouped,2022/9/1,0
Mikko,Reserve,A2,WOFA C2H6,A2,3rd driver,driver grouped,2022/9/1,0
Joji,Reserve,A2,Max UJS Racing,A2,1st driver,driver grouped,2022/9/1,0
dasu,Reserve,A2,Max UJS Racing,A2,2ed driver,driver grouped,2022/9/1,0
ZghosT,Reserve,A2,TOP,A2,1st driver,driver grouped,2022/9/1,0
HanyueYY,Reserve,A2,TOP,A2,2ed driver,driver grouped,2022/9/1,0
Charlotte Amor,Reserve,A2,Na'as,A2,1st driver,driver grouped,2022/9/1,0
Go7D3n WEST 999,Reserve,A2,Na'as,A2,2ed driver,driver grouped,2022/9/1,0
SHMJimmy,Pit Lane Killer,A1,Pit Lane Killer,A1,2ed driver,driver grouped,2022/9/13,0
Kogasa,Pit Lane Killer,A1,Pit Lane Killer,A1,3rd driver,driver grouped,2022/9/13,0
zbk,Reserve,A1,DNF,A1,1st driver,driver grouped,2022/9/13,0
Head brother,Reserve,A1,DNF,A1,2ed driver,driver grouped,2022/9/13,0
Lucylsy,Reserve,A2,Reserve,A1,reserved driver,driver reallocated,2022/9/21,0
SHZ,Reserve,A2,Reserve,A1,reserved driver,driver reallocated,2022/9/21,0
Charles Jiang,Reserve,A2,TOP,A2,3rd driver,driver grouped,2022/9/21,0
LandoRicciardo,Reserve,A3,Reserve,A1,reserved driver,driver upgrade,2022/10/11,0
Alick,Reserve,A1,QGod,A1,1st driver,driver grouped,2022/10/11,0
Quick Nick,Reserve,A1,QGod,A1,2ed driver,driver grouped,2022/10/11,0
333,3b,A1,Reserve,A1,reserved driver,team dismissed,2022/10/11,0
bomber-20,3b,A1,Reserve,A1,reserved driver,team dismissed,2022/10/11,0
bomber-20,Reserve,A1,ABC,A1,1st driver,driver grouped,2022/10/11,1
SHZ,Reserve,A1,ABC,A1,2ed driver,driver grouped,2022/10/11,0
guagua,Reserve,A2,NIO333,A2,2ed driver,driver grouped,2022/10/11,0
STeven L2i,NIO333,A2,NIO333,A2,3rd driver,driver grouped,2022/10/11,0
i4foru,Reserve,A2,fass,A2,1st driver,driver grouped,2022/10/11,0
PPJACK,Reserve,A2,fass,A2,2ed driver,driver grouped,2022/10/11,0
Wilson Leclerc,NIO333,A2,Reserve,A1,reserved driver,driver upgrade,2022/10/19,0
Go7D3n WEST 999,Na'as,A2,Reserve,A1,reserved driver,driver upgrade,2022/10/19,0
tinnycatty809yhb,j r y,A2,Reserve,A1,reserved driver,driver upgrade,2022/10/19,0
g eight,Reserve,A3,Reserve,A2,reserved driver,driver upgrade,2022/10/19,0
i4foru,fass,A2,Reserve,A3,reserved driver,driver downgrade,2022/10/19,0
Lugo,Team HII,A2,Reserve,A3,reserved driver,driver downgrade,2022/10/19,0
Charlotte Amor,Na'as,A2,Reserve,A2,reserved driver,driver reallocate,2022/10/19,0
M4,Team HII,A2,Reserve,A2,reserved driver,driver reallocate,2022/10/19,0
magpie,Reserve,A3,Reserve,A2,reserved driver,driver upgrade,2022/10/19,0
lingerr,Reserve,A1,Reserve,A2,reserved driver,driver downgrade,2022/10/19,0
tinnycatty809yhb,Reserve,A1,High And Alone,A2,1st driver,driver grouped,2022/10/26,0
Go7D3n WEST 999,Reserve,A1,High And Alone,A2,2ed driver,driver grouped,2022/10/26,0
LandoRicciardo,Reserve,A1,Reserve,A2,reserved driver,driver reallocate,2022/10/26,0
