Round,raceDate,GP_CHN,GP_ENG,driverGroup,raceStatus
1,2024/1/20,澳大利亚,Australia,A1,TO BE GO
2,2024/1/27,巴林,Bahrain,A1,TO BE GO
3,2024/2/03,卡塔尔,Qatar,A1,TO BE GO
,2024/2/10,春节,Chinese NY1,A1,SEASON BREAK
,2024/2/17,春节,Chinese NY2,A1,SEASON BREAK
4,2024/2/24,阿塞拜疆,Azerbaijan,A1,TO BE GO
5,2024/3/02,圣马力诺,San Marino,A1,TO BE GO
6,2024/3/09,西班牙,Spain,A1,TO BE GO
7,2024/3/16,法国,France,A1,TO BE GO
8,2024/3/23,英国,Britain,A1,TO BE GO
9,2024/3/30,奥地利,Austria,A1,TO BE GO
,2024/4/06,清明,Tomb,A1,SEASON BREAK
10,2024/4/13,匈牙利,Hungary,A1,TO BE GO
11,2024/4/20,比利时,Belgium,A1,TO BE GO
12,2024/4/27,意大利,Italy,A1,TO BE GO
,2024/5/04,五一,Labours Day,A1,SEASON BREAK
13,2024/5/11,新加坡,Singapore,A1,TO BE GO
14,2024/5/18,加拿大,Canada,A1,TO BE GO
15,2024/5/25,拉斯维加斯,Las Vegas,A1,TO BE GO
16,2024/6/01,美国,USA,A1,TO BE GO
,2024/6/08,端午,Dragon boat,A1,SEASON BREAK
17,2024/6/15,墨西哥,Mexcio,A1,TO BE GO
18,2024/6/22,巴西,Brazil,A1,TO BE GO
1,2024/1/19,澳大利亚,Australia,A2,TO BE GO
2,2024/1/26,巴林,Bahrain,A2,TO BE GO
3,2024/2/02,卡塔尔,Qatar,A2,TO BE GO
,2024/2/09,春节,Chinese NY1,A2,SEASON BREAK
,2024/2/16,春节,Chinese NY2,A2,SEASON BREAK
4,2024/2/23,阿塞拜疆,Azerbaijan,A2,TO BE GO
5,2024/3/01,圣马力诺,San Marino,A2,TO BE GO
6,2024/3/08,西班牙,Spain,A2,TO BE GO
7,2024/3/15,法国,France,A2,TO BE GO
8,2024/3/22,英国,Britain,A2,TO BE GO
9,2024/3/29,奥地利,Austria,A2,TO BE GO
,2024/4/05,清明,Tomb,A2,SEASON BREAK
10,2024/4/12,匈牙利,Hungary,A2,TO BE GO
11,2024/4/19,比利时,Belgium,A2,TO BE GO
12,2024/4/26,意大利,Italy,A2,TO BE GO
,2024/5/03,五一,Labours Day,A2,SEASON BREAK
13,2024/5/10,新加坡,Singapore,A2,TO BE GO
14,2024/5/17,加拿大,Canada,A2,TO BE GO
15,2024/5/24,拉斯维加斯,Las Vegas,A2,TO BE GO
16,2024/5/31,美国,USA,A2,TO BE GO
,2024/6/07,端午,Dragon boat,A2,SEASON BREAK
17,2024/6/14,墨西哥,Mexcio,A2,TO BE GO
18,2024/6/21,巴西,Brazil,A2,TO BE GO
1,2024/1/21,澳大利亚,Australia,A3,TO BE GO
2,2024/1/28,巴林,Bahrain,A3,TO BE GO
3,2024/2/04,卡塔尔,Qatar,A3,TO BE GO
,2024/2/11,春节,Chinese NY1,A3,SEASON BREAK
,2024/2/18,春节,Chinese NY2,A3,SEASON BREAK
4,2024/2/25,阿塞拜疆,Azerbaijan,A3,TO BE GO
5,2024/3/03,圣马力诺,San Marino,A3,TO BE GO
6,2024/3/10,西班牙,Spain,A3,TO BE GO
7,2024/3/17,法国,France,A3,TO BE GO
8,2024/3/24,英国,Britain,A3,TO BE GO
9,2024/3/31,奥地利,Austria,A3,TO BE GO
,2024/4/07,清明,Tomb,A3,SEASON BREAK
10,2024/4/14,匈牙利,Hungary,A3,TO BE GO
11,2024/4/21,比利时,Belgium,A3,TO BE GO
12,2024/4/28,意大利,Italy,A3,TO BE GO
,2024/5/05,五一,Labours Day,A3,SEASON BREAK
13,2024/5/12,新加坡,Singapore,A3,TO BE GO
14,2024/5/19,加拿大,Canada,A3,TO BE GO
15,2024/5/26,拉斯维加斯,Las Vegas,A3,TO BE GO
16,2024/6/02,美国,USA,A3,TO BE GO
,2024/6/09,端午,Dragon boat,A3,SEASON BREAK
17,2024/6/16,墨西哥,Mexcio,A3,TO BE GO
18,2024/6/23,巴西,Brazil,A3,TO BE GO
