Round,raceDate,GP_CHN,GP_ENG,driverGroup,raceStatus
1,2024/8/03,澳大利亚,Australia,A1,TO BE GO
2,2024/8/10,美国,USA,A1,TO BE GO
,2024/8/17,秋歇,Fall Break,A1,SEASON BREAK
3,2024/8/24,西班牙,Spain,A1,TO BE GO
4,2024/8/31,圣马力诺,San Marino,A1,TO BE GO
5,2024/9/07,葡萄牙,Portugal,A1,TO BE GO
,2024/9/14,中秋,Mid Autumn,A1,SEASON BREAK
6,2024/9/21,中国,China,A1,TO BE GO
7,2024/9/28,英国,Britain,A1,TO BE GO
,2024/10/05,国庆,National Day,A1,SEASON BREAK
8,2024/10/12,奥地利,Austria,A1,TO BE GO
9,2024/10/19,比利时,Belgium,A1,TO BE GO
10,2024/10/26,荷兰,Netherlands,A1,TO BE GO
11,2024/11/02,意大利,Italy,A1,TO BE GO
,2024/11/09,冬歇,Winter Break,A1,SEASON BREAK
12,2024/11/16,沙特,Saudi Arabia,A1,TO BE GO
13,2024/11/23,日本,Japan,A1,TO BE GO
14,2024/11/30,巴西,Brazil,A1,TO BE GO
15,2024/12/07,阿布扎比,Abu Dhabi,A1,TO BE GO
1,2024/8/02,澳大利亚,Australia,A2,TO BE GO
2,2024/8/09,美国,USA,A2,TO BE GO
,2024/8/16,秋歇,Fall Break,A2,SEASON BREAK
3,2024/8/23,西班牙,Spain,A2,TO BE GO
4,2024/8/30,圣马力诺,San Marino,A2,TO BE GO
5,2024/9/06,葡萄牙,Portugal,A2,TO BE GO
,2024/9/13,中秋,Mid Autumn,A2,SEASON BREAK
6,2024/9/20,中国,China,A2,TO BE GO
7,2024/9/27,英国,Britain,A2,TO BE GO
,2024/10/04,国庆,National Day,A2,SEASON BREAK
8,2024/10/11,奥地利,Austria,A2,TO BE GO
9,2024/10/18,比利时,Belgium,A2,TO BE GO
10,2024/10/25,荷兰,Netherlands,A2,TO BE GO
11,2024/11/01,意大利,Italy,A2,TO BE GO
,2024/11/08,冬歇,Winter Break,A2,SEASON BREAK
12,2024/11/15,沙特,Saudi Arabia,A2,TO BE GO
13,2024/11/22,日本,Japan,A2,TO BE GO
14,2024/11/29,巴西,Brazil,A2,TO BE GO
15,2024/12/06,阿布扎比,Abu Dhabi,A2,TO BE GO
