driverGroup,GP,finishPosition,driverName,team,startPosition,gap,driverStatus
AFEC,Spain,1,Mushi,V1T,8,,FINISHED
AFEC,Spain,2,zbk,did not finsh,3,+10.446,FINISHED
AFEC,Spain,3,az,LJK Team,6,+17.857,FINISHED
AFEC,Spain,4,mushimu,Kids See Ghost,5,+37.972,FINISHED
AFEC,Spain,5,Seb V5,LJK Team,4,+52.082,FINISHED
AFEC,Spain,6,Head brother,did not finsh,2,+63.310,FINISHED
AFEC,Spain,7,g eight,LJK Team,7,+147.143,FINISHED
AFEC,Spain,8,Mikko,Kids See Ghost,1,+1 Lap,FINISHED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
