driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Bahrain,1,Suburbanite,CodeMaster Sucks,1,1:31.346,,FINISHED
A1,Bahrain,2,mushimu,Pit Lane Killer,2,1:30.677,+6.090,FINISHED
A1,Bahrain,3,Seb V5,Reserve,3,1:32.039,+18.674,FINISHED
A1,Bahrain,4,bomber-20,3b,6,1:31.453,+22.292,FINISHED
A1,Bahrain,5,SHMJimmy,Reserve,5,1:31.513,+27.045,FINISHED
A1,Bahrain,6,zbk,Reserve,9,1:31.054,+28.525,FINISHED
A1,Bahrain,7,Mysery,Reserve,8,1:30.703,+43.583,FINISHED
A1,Bahrain,8,Legal,Reserve,7,1:31.248,+50.915,FINISHED
A1,Bahrain,9,lingerr,Reserve,12,1:32.192,+59.314,FINISHED
A1,Bahrain,10,SBSDAVET,Reserve,13,1:32.978,+62.667,FINISHED
A1,Bahrain,11,Head brother,Reserve,10,1:31.666,+69.271,FINISHED
A1,Bahrain,12,RROY,CodeMaster Sucks,14,1:30.753,+1 Lap,FINISHED
A1,Bahrain,13,Kogasa,Pit Lane Killer,11,1:32.390,DNF,RETIRED
A1,Bahrain,14,333,3b,4,1:31.795,DNF,RETIRED
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
