driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A3,Bahrain,1,Ta1ko,Reserve,1:30.195,S,FINISHED
A3,Bahrain,2,GG bond,Reserve,1:30.223,S,FINISHED
A3,Bahrain,3,188066,Reserve,1:30.287,S,FINISHED
A3,Bahrain,4,magpie,Reserve,1:30.449,S,FINISHED
A3,Bahrain,5,Perfect,Reserve,1:31.157,S,FINISHED
A3,Bahrain,6,yeye,Reserve,1:31.608,S,FINISHED
A3,Bahrain,7,taka10969,Reserve,1:32.656,S,FINISHED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
