driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Australia,1,Suburbanite,CodeMaster Sucks,1:17.282,S,FINISHED
A1,Australia,2,mushimu,Pit Lane Killer,1:17.535,S,FINISHED
A1,Australia,3,CM401ASM,CodeMaster Sucks,1:17.557,S,FINISHED
A1,Australia,4,az,Reserve,1:17.596,S,FINISHED
A1,Australia,5,SHZ,A2,1:17.644,S,FINISHED
A1,Australia,6,wofa,Reserve,1:17.653,S,FINISHED
A1,Australia,7,h0nestly,Reserve,1:17.779,S,FINISHED
A1,Australia,8,Legal,Reserve,1:17.920,S,FINISHED
A1,Australia,9,Head brother,DNF,1:18.106,S,FINISHED
A1,Australia,10,Lucylsy,A2,1:18.114,S,FINISHED
A1,Australia,11,Kogasa,Reserve,1:18.185,S,FINISHED
A1,Australia,12,zbk,DNF,1:18.332,S,FINISHED
A1,Australia,13,SHMJimmy,Pit Lane Killer,1:18.687,S,FINISHED
A1,Australia,14,Mysery,Reserve,1:18.808,S,FINISHED
A1,Australia,15,Seb V5,Reserve,,S,QB
A1,Australia,16,bomber-20,3b,,S,FINISHED
A1,Australia,17,Ayanami,A2,,S,FINISHED
A1,Australia,18,i4foru,A2,,S,FINISHED
,,,,,,,
,,,,,,,
