driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A3,San Marino,1,LandoRicciardo,Reserve,1:15.912,S,FINISHED
A3,San Marino,2,sharkbee,Reserve,1:16.614,S,FINISHED
A3,San Marino,3,wen,Reserve,1:16.710,S,FINISHED
A3,San Marino,4,magpie,Reserve,1:16.997,S,FINISHED
A3,San Marino,5,Perfect,Reserve,1:17.331,S,FINISHED
A3,San Marino,6,WANWANJU,Reserve,1:17.332,S,FINISHED
A3,San Marino,7,Ta1ko,Reserve,1:17.663,S,FINISHED
A3,San Marino,8,188066,Reserve,1:17.760,S,FINISHED
A3,San Marino,9,yeye,Reserve,1:18.726,S,FINISHED
A3,San Marino,10,taka10969,Reserve,1:20.695,S,FINISHED
A3,San Marino,11,GG bond,Reserve,,,FINISHED
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
