driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A3,San Marino,1,LandoRicciardo,Reserve,1,1:18.921,,FINISHED
A3,San Marino,2,sharkbee,Reserve,2,1:18.156,+0.223,FINISHED
A3,San Marino,3,Ta1ko,Reserve,7,1:19.282,+3.604,FINISHED
A3,San Marino,4,GG Bond,Reserve,11,1:19.183,+13.490,FINISHED
A3,San Marino,5,188066,Reserve,8,1:20.112,+26.855,FINISHED
A3,San Marino,6,yeye,Reserve,9,1:20.809,+47.129,FINISHED
A3,San Marino,7,magpie,Reserve,4,1:18.773,+1 Lap,FINISHED
A3,San Marino,8,taka10969,Reserve,10,1:22.209,+1 Lap,FINISHED
A3,San Marino,9,wen,Reserve,3,1:18.461,DNF,RETIRED
A3,San Marino,10,WANWANJU,Reserve,6,1:19.585,DNF,RETIRED
A3,San Marino,11,Perfect,Reserve,5,1:20.804,DNF,RETIRED
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
