driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Azerbaijan,1,Suburbanite,CodeMaster Sucks,1:39.280,S,FINISHED
A1,Azerbaijan,2,bomber-20,ABC,1:39.510,S,FINISHED
A1,Azerbaijan,3,Mushi,Reserve,1:39.519,S,FINISHED
A1,Azerbaijan,4,Wilson Leclerc,Reserve,1:39.562,S,FINISHED
A1,Azerbaijan,5,SHMJimmy,Pit Lane Killer,1:39.577,S,FINISHED
A1,Azerbaijan,6,mushimu,Pit Lane Killer,1:39.698,S,FINISHED
A1,Azerbaijan,7,Asuka,Reserve,1:39.811,S,FINISHED
A1,Azerbaijan,8,Garland,Reserve,1:39.904,S,FINISHED
A1,Azerbaijan,9,Alick,QGod,1:39.914,S,FINISHED
A1,Azerbaijan,10,Quick Nick,QGod,1:39.987,S,FINISHED
A1,Azerbaijan,11,Jakewislet,Reserve,1:40.010,S,FINISHED
A1,Azerbaijan,12,Head brother,DNF,1:40.063,S,FINISHED
A1,Azerbaijan,13,zbk,DNF,1:40.589,S,FINISHED
A1,Azerbaijan,14,Livistar,Reserve,1:40.689,S,FINISHED
A1,Azerbaijan,15,LandoRicciardo,Reserve,1:40.767,S,FINISHED
A1,Azerbaijan,16,RROY,CodeMaster Sucks,1:41.003,S,FINISHED
A1,Azerbaijan,17,tinnycatty809yhb,Reserve,1:41.125,S,FINISHED
A1,Azerbaijan,18,Kogasa,Reserve,,,FINISHED
A1,Azerbaijan,19,BBNIZI,A2,,,FINISHED
A1,Azerbaijan,20,Seb V5,Reserve,,,FINISHED
