driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Britain,1,shotsbaldwin,Reserve,1:26.978,S,FINISHED
A1,Britain,2,Suburbanite,CodeMaster Sucks,1:27.064,S,FINISHED
A1,Britain,3,Quick Nick,QGod,1:27.074,S,FINISHED
A1,Britain,4,az,Reserve,1:27.246,S,FINISHED
A1,Britain,5,Mercedes-HUO,Reserve,1:27.440,S,FINISHED
A1,Britain,6,Seb V5,Reserve,1:27.484,S,FINISHED
A1,Britain,7,Alick,QGod,1:27.486,S,FINISHED
A1,Britain,8,CM401ASM,CodeMaster Sucks,1:27.502,S,FINISHED
A1,Britain,9,mushimu,Pit Lane Killer,1:27.642,S,FINISHED
A1,Britain,10,SHMJimmy,Pit Lane Killer,1:27.652,S,FINISHED
A1,Britain,11,Legal,Reserve,1:27.670,S,FINISHED
A1,Britain,12,Asuka,Reserve,1:27.738,S,FINISHED
A1,Britain,13,Garland,Reserve,1:27.741,S,FINISHED
A1,Britain,14,zbk,DNF,1:27.830,S,FINISHED
A1,Britain,15,Kogasa,Reserve,1:28.785,S,FINISHED
A1,Britain,16,SHZ,ABC,1:28.975,S,FINISHED
A1,Britain,17,kirito,Reserve,1:29.296,S,FINISHED
A1,Britain,18,Head brother,DNF,,,QB
A1,Britain,19,Livistar,Reserve,,,QB
A1,Britain,20,wofa,Reserve,,,QB
