driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A2,Britain,1,Ayanami,WOFA C2H6,5,1:40.504,,FINISHED
A2,Britain,2,GROSJEAN,Reserve,7,1:40.565,+2.724,FINISHED
A2,Britain,3,tinnycatty809yhb,High And Alone,10,1:39.820,+8.798,FINISHED
A2,Britain,4,YakumoCC,Low Speed Player,3,1:38.466,+9.212,FINISHED
A2,Britain,5,Mikko,WOFA C2H6,1,1:39.261,+12.337,FINISHED
A2,Britain,6,LandoRicciardo,Reserve,6,1:40.953,+20.868,FINISHED
A2,Britain,7,Y,Low Speed Player,2,1:40.465,+22.746,FINISHED
A2,Britain,8,HanyueYY,TOP,9,1:40.346,+24.675,FINISHED
A2,Britain,9,Jack,j r y,4,1:40.171,+29.078,FINISHED
A2,Britain,10,ZghosT,TOP,13,1:40.156,+31.828,FINISHED
A2,Britain,11,hhhzw,Reserve,8,1:40.217,+31.832,FINISHED
A2,Britain,12,Promise,Reserve,12,1:40.762,+51.555,FINISHED
A2,Britain,13,LINGJ,muamua,15,1:41.344,+74.227,FINISHED
A2,Britain,14,i4foru,A3,19,1:38.996,+100.877,FINISHED
A2,Britain,15,magpie,Reserve,18,1:38.516,+150.258,FINISHED
A2,Britain,16,PPJACK,fass,20,1:41.539,+1 Lap,FINISHED
A2,Britain,17,Ta1ko,A3,17,1:43.092,+1 Lap,FINISHED
A2,Britain,18,RainBow,j r y,11,1:41.699,DNF,RETIRED
A2,Britain,19,guagua,NIO333,14,1:42.733,DNF,RETIRED
A2,Britain,20,dasu,Max UJS Racing,16,,DNF,RETIRED
