driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Austria,1,shotsbaldwin,Reserve,1:04.185,S,FINISHED
A1,Austria,2,Suburbanite,CodeMaster Sucks,1:04.426,S,FINISHED
A1,Austria,3,CM401ASM,CodeMaster Sucks,1:04.494,S,FINISHED
A1,Austria,4,Asuka,Reserve,1:04.609,S,FINISHED
A1,Austria,5,Seb V5,Reserve,1:04.698,S,FINISHED
A1,Austria,6,LHAM66,Reserve,1:04.720,S,FINISHED
A1,Austria,7,Wilson Leclerc,Reserve,1:04.728,S,FINISHED
A1,Austria,8,Quick Nick,QGod,1:04.782,S,FINISHED
A1,Austria,9,mushimu,Pit Lane Killer,1:04.789,S,FINISHED
A1,Austria,10,Mercedes-HUO,Reserve,1:04.791,S,FINISHED
A1,Austria,11,Head brother,DNF,1:04.802,S,FINISHED
A1,Austria,12,Jakewislet,Reserve,1:04.832,S,FINISHED
A1,Austria,13,SHMJimmy,Pit Lane Killer,1:04.872,S,FINISHED
A1,Austria,14,Garland,Reserve,1:04.971,S,FINISHED
A1,Austria,15,Alick,QGod,1:05.116,S,FINISHED
A1,Austria,16,zbk,DNF,1:05.542,S,FINISHED
A1,Austria,17,SBSDAVET,Reserve,1:05.739,S,FINISHED
A1,Austria,18,Livistar,Reserve,,,QB
A1,Austria,19,LobsterPigg,Reserve,,,FINISHED
