driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Austria,1,Suburbanite,CodeMaster Sucks,2,1:07.213,,FINISHED
A1,Austria,2,CM401ASM,CodeMaster Sucks,3,1:07.426,+1.726,FINISHED
A1,Austria,3,shotsbaldwin,Reserve,1,1:06.946,+4.078,FINISHED
A1,Austria,4,Quick Nick,QGod,8,1:07.302,+10.834,FINISHED
A1,Austria,5,SHMJimmy,Pit Lane Killer,13,1:07.587,+13.302,FINISHED
A1,Austria,6,LobsterPigg,Reserve,19,1:07.665,+14.168,FINISHED
A1,Austria,7,zbk,DNF,16,1:07.455,+40.523,FINISHED
A1,Austria,8,LHAM66,Reserve,6,1:07.608,+43.494,FINISHED
A1,Austria,9,Asuka,Reserve,4,1:07.640,+46.707,FINISHED
A1,Austria,10,Seb V5,Reserve,5,1:07.576,+47.809,FINISHED
A1,Austria,11,Garland,Reserve,14,1:06.194,+53.479,FINISHED
A1,Austria,12,SBSDAVET,Reserve,17,1:08.375,+55.026,FINISHED
A1,Austria,13,Wilson Leclerc,Reserve,7,1:07.505,+1 Lap,FINISHED
A1,Austria,14,Livistar,Reserve,18,1:05.720,+1 Lap,FINISHED
A1,Austria,15,Head brother,DNF,11,1:07.189,DNF,RETIRED
A1,Austria,16,Alick,QGod,15,1:08.102,DNF,RETIRED
A1,Austria,17,Jakewislet,Reserve,12,1:14.904,DNF,RETIRED
A1,Austria,18,Mercedes-HUO,Reserve,10,1:15.817,DNF,RETIRED
A1,Austria,19,mushimu,Pit Lane Killer,9,1:30.919,DNF,RETIRED
