casedate,driverName,driverGroup,GP,penalty,penaltyLP,penaltyWarning,qualiBan,raceBan,PenaltyDescription
2022/9/18,mushimu,A1,Australia,5 Second Time Penalty,0,0.5,0,0,Ilegal attempt to obtain DRS
2022/9/18,Seb V5,A1,Australia,,0,0,-1,0,
2022/9/17,Go7D3n WEST 999,A2,Australia,Qualifying Ban,-1,1,1,0,Obstructing flying lap
2022/9/17,Charlotte Amor,A2,Australia,Qualifying Ban,-1,1,1,0,Obstructing flying lap
2022/9/17,RainBow,A2,Australia,20 Second Stop and Go Penalty ,-3,2,0,0,Causing a severe collision
2022/9/17,Mikko,A2,Australia,10 Second Time Penalty,-1,1,0,0,Using illegal function
2022/9/17,HanyueYY,A2,Australia,10 Second Stop and Go penalty,-3,2,0,0,Causing a collision
2022/9/17,tinnycatty809yhb,A2,Australia,10 Second Stop and Go penalty,-2,1,0,0,Causing a collision and forcing another car off the track
2022/9/17,SHZ,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/17,hhhzw,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/17,KINGBOB,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
2022/9/17,Charlotte Amor,A2,Australia,Disqualified,0,0,0,0,Racing with telemetry off
