driverGroup,GP,position,driverName,team,fastestLap,tyre,driverStatus
A1,Britain,1,shotsbaldwin,Reserve,1:26.978,S,FINISHED
A1,Britain,2,Suburbanite,CodeMaster Sucks,1:27.064,S,FINISHED
A1,Britain,3,Quick Nick,QGod,1:27.074,S,FINISHED
A1,Britain,4,az,Reserve,1:27.246,S,FINISHED
A1,Britain,5,Mercedes-HUO,Reserve,1:27.440,S,FINISHED
A1,Britain,6,Seb V5,Reserve,1:27.484,S,FINISHED
A1,Britain,7,Alick,QGod,1:27.486,S,FINISHED
A1,Britain,8,CM401ASM,CodeMaster Sucks,1:27.502,S,FINISHED
A1,Britain,9,mushimu,Pit Lane Killer,1:27.642,S,FINISHED
A1,Britain,10,SHMJimmy,Pit Lane Killer,1:27.652,S,FINISHED
A1,Britain,11,Legal,Reserve,1:27.670,S,FINISHED
A1,Britain,12,Asuka,Reserve,1:27.738,S,FINISHED
A1,Britain,13,Garland,Reserve,1:27.741,S,FINISHED
A1,Britain,14,zbk,DNF,1:27.830,S,FINISHED
A1,Britain,15,Kogasa,Reserve,1:28.785,S,FINISHED
A1,Britain,16,SHZ,ABC,1:28.975,S,FINISHED
A1,Britain,17,kirito,Reserve,1:29.296,S,FINISHED
A1,Britain,18,Head brother,DNF,,,QB
A1,Britain,19,Livistar,Reserve,,,QB
A1,Britain,20,wofa,Reserve,,,QB
A2,Britain,1,Mikko,WOFA C2H6,1:27.575,S,FINISHED
A2,Britain,2,Y,Low Speed Player,1:27.850,S,FINISHED
A2,Britain,3,YakumoCC,Low Speed Player,1:27.904,S,FINISHED
A2,Britain,4,Jack,j r y,1:27.985,S,FINISHED
A2,Britain,5,Ayanami,WOFA C2H6,1:28.157,S,FINISHED
A2,Britain,6,LandoRicciardo,Reserve,1:28.188,S,FINISHED
A2,Britain,7,GROSJEAN,Reserve,1:28.346,S,FINISHED
A2,Britain,8,hhhzw,Reserve,1:28.384,S,FINISHED
A2,Britain,9,HanyueYY,TOP,1:28.445,S,FINISHED
A2,Britain,10,tinnycatty809yhb,High And Alone,1:28.462,S,FINISHED
A2,Britain,11,RainBow,j r y,1:28.470,S,FINISHED
A2,Britain,12,Promise,Reserve,1:28.535,S,FINISHED
A2,Britain,13,ZghosT,TOP,1:28.537,S,FINISHED
A2,Britain,14,guagua,NIO333,1:28.677,S,FINISHED
A2,Britain,15,LINGJ,muamua,1:29.095,S,FINISHED
A2,Britain,16,dasu,Max UJS Racing,1:29.324,S,FINISHED
A2,Britain,17,Ta1ko,A3,1:29.774,S,FINISHED
A2,Britain,18,magpie,Reserve,1:29.967,S,FINISHED
A2,Britain,19,i4foru,A3,,,QB
A2,Britain,20,PPJACK,fass,,,FINISHED
A3,Britain,1,wen,Reserve,1:27.960,S,FINISHED
A3,Britain,2,Ta1ko,Reserve,1:29.187,S,FINISHED
A3,Britain,3,GG bond,Reserve,1:29.319,S,FINISHED
A3,Britain,4,188066,Reserve,1:29.642,S,FINISHED
A3,Britain,5,WANWANJU,Reserve,1:30.128,S,FINISHED
A3,Britain,6,yeye,Reserve,1:31.311,S,FINISHED
A3,Britain,7,taka10969,Reserve,1:33.187,S,FINISHED
,,,,,,,
