driverGroup,GP,finishPosition,driverName,team,startPosition,fastestLap,gap,driverStatus
A1,Britain,1,Suburbanite,CodeMaster Sucks,2,1:29.740,,FINISHED
A1,Britain,2,shotsbaldwin,Reserve,1,1:29.640,+1.722,FINISHED
A1,Britain,3,az,Reserve,4,1:29.950,+3.689,FINISHED
A1,Britain,4,Quick Nick,QGod,3,1:29.594,+5.391,FINISHED
A1,Britain,5,Seb V5,Reserve,6,1:30.148,+14.358,FINISHED
A1,Britain,6,Legal,Reserve,11,1:29.981,+19.470,FINISHED
A1,Britain,7,wofa,Reserve,20,1:30.197,+25.795,FINISHED
A1,Britain,8,mushimu,Pit Lane Killer,9,1:30.205,+26.264,FINISHED
A1,Britain,9,Mercedes-HUO,Reserve,5,1:30.479,+30.311,FINISHED
A1,Britain,10,SHMJimmy,Pit Lane Killer,10,1:30.044,+32.713,FINISHED
A1,Britain,11,Garland,Reserve,13,1:30.169,+33.976,FINISHED
A1,Britain,12,zbk,DNF,14,1:29.595,+38.082,FINISHED
A1,Britain,13,Livistar,Reserve,19,1:30.427,+47.366,FINISHED
A1,Britain,14,CM401ASM,CodeMaster Sucks,8,1:30.259,+62.980,FINISHED
A1,Britain,15,Asuka,Reserve,12,1:30.437,+81.210,FINISHED
A1,Britain,16,Kogasa,Reserve,15,1:29.908,+1 Lap,FINISHED
A1,Britain,17,kirito,Reserve,17,1:32.359,DNF,RETIRED
A1,Britain,18,SHZ,ABC,16,1:30.954,DNF,RETIRED
A1,Britain,19,Head brother,DNF,18,1:30.922,DNF,RETIRED
A1,Britain,20,Alick,QGod,7,1:31.855,DNF,RETIRED
A2,Britain,1,Ayanami,WOFA C2H6,5,1:40.504,,FINISHED
A2,Britain,2,GROSJEAN,Reserve,7,1:40.565,+2.724,FINISHED
A2,Britain,3,tinnycatty809yhb,High And Alone,10,1:39.820,+8.798,FINISHED
A2,Britain,4,YakumoCC,Low Speed Player,3,1:38.466,+9.212,FINISHED
A2,Britain,5,Mikko,WOFA C2H6,1,1:39.261,+12.337,FINISHED
A2,Britain,6,LandoRicciardo,Reserve,6,1:40.953,+20.868,FINISHED
A2,Britain,7,Y,Low Speed Player,2,1:40.465,+22.746,FINISHED
A2,Britain,8,HanyueYY,TOP,9,1:40.346,+24.675,FINISHED
A2,Britain,9,Jack,j r y,4,1:40.171,+29.078,FINISHED
A2,Britain,10,ZghosT,TOP,13,1:40.156,+31.828,FINISHED
A2,Britain,11,hhhzw,Reserve,8,1:40.217,+31.832,FINISHED
A2,Britain,12,Promise,Reserve,12,1:40.762,+51.555,FINISHED
A2,Britain,13,LINGJ,muamua,15,1:41.344,+74.227,FINISHED
A2,Britain,14,i4foru,A3,19,1:38.996,+100.877,FINISHED
A2,Britain,15,magpie,Reserve,18,1:38.516,+150.258,FINISHED
A2,Britain,16,PPJACK,fass,20,1:41.539,+1 Lap,FINISHED
A2,Britain,17,Ta1ko,A3,17,1:43.092,+1 Lap,FINISHED
A2,Britain,18,RainBow,j r y,11,1:41.699,DNF,RETIRED
A2,Britain,19,guagua,NIO333,14,1:42.733,DNF,RETIRED
A2,Britain,20,dasu,Max UJS Racing,16,,DNF,RETIRED
A3,Britain,1,wen,Reserve,1,1:29.496,,FINISHED
A3,Britain,2,WANWANJU,Reserve,5,1:31.393,+8.087,FINISHED
A3,Britain,3,Ta1ko,Reserve,2,1:32.044,+9.355,FINISHED
A3,Britain,4,188066,Reserve,4,1:31.583,+31.395,FINISHED
A3,Britain,5,taka10969,Reserve,7,1:33.175,+56.010,FINISHED
A3,Britain,6,GG bond,Reserve,3,1:30.539,+103.228,FINISHED
A3,Britain,7,yeye,Reserve,6,1:50.137,DNF,RETIRED
